categoria_id,precio_venta,categoria_str,precio_intercambio,precio_compra,titulo,sku,img_caratula
1001,35.00,PlayStation 4,23.00,17.00,Uncharted 4: El desenlace del ladrón,711719454410,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg
1001,35.00,PlayStation 4,23.00,17.00,Call Of Duty: Black Ops III,5030917181733,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg
1001,68.00,PlayStation 4,46.00,38.00,FIFA 17,5030937116388,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg
1001,40.00,PlayStation 4,26.00,20.00,Call Of Duty: Infinite Warfare,5030917197185,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg
1001,12.00,PlayStation 4,4.00,2.00,FIFA 16,5030931112881,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg
1001,52.00,PlayStation 4,34.00,26.00,Grand Theft Auto V (5),5026555417037,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg
1001,60.00,PlayStation 4,43.00,37.00,Watch Dogs 2,3307215966730,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg
1001,28.00,PlayStation 4,18.00,14.00,Assassin's Creed: Syndicate,3307215893227,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg
1001,18.00,PlayStation 4,12.00,9.00,Watch Dogs,3307215732939,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg
1001,28.00,PlayStation 4,18.00,14.00,Star Wars: Battlefront,5030934121637,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg
1001,50.00,PlayStation 4,34.00,28.00,"Last Guardian, The",711719838951,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg
1001,25.00,PlayStation 4,16.00,12.00,Assassin's Creed: Unity,3307215803530,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg
1001,58.00,PlayStation 4,39.00,32.00,Battlefield 1,5030941113762,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg
1001,55.00,PlayStation 4,37.00,30.00,Final Fantasy XV,5021290072985,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg
1001,32.00,PlayStation 4,21.00,16.00,Far Cry Primal,3307215938782,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg
977,42.00,Nintendo 3DS,32.00,29.00,Pokemon Sol,45496473358,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg
977,42.00,Nintendo 3DS,32.00,29.00,Pokemon Luna,45496473464,/product_images/Juegos/3DS Juegos/045496473464_s.jpg
977,25.00,Nintendo 3DS,16.00,12.00,Pokemon: Zafiro Alfa,45496526320,/product_images/Juegos/3DS Juegos/045496526320_s.jpg
977,28.00,Nintendo 3DS,18.00,14.00,Pokemon Rubi Omega,45496526313,/product_images/Juegos/3DS Juegos/045496526313_s.jpg
977,25.00,Nintendo 3DS,16.00,12.00,Pokemon Y,45496524333,/product_images/Juegos/3DS Juegos/045496524333_s.jpg
977,22.00,Nintendo 3DS,14.00,11.00,Super Mario 3D Land,45496521233,/product_images/Juegos/3DS Juegos/045496521233_s.jpg
977,28.00,Nintendo 3DS,18.00,14.00,Super Smash Bros.,45496526283,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg
977,28.00,Nintendo 3DS,18.00,14.00,Animal Crossing: New Leaf,45496523848,/product_images/Juegos/3DS Juegos/045496523848_s.jpg
977,28.00,Nintendo 3DS,18.00,14.00,New Super Mario Bros. 2,45496522582,/product_images/Juegos/3DS Juegos/045496522582_s.jpg
977,24.00,Nintendo 3DS,16.00,12.00,Legend Of Zelda Ocarina Of Time 3D,45496520830,/product_images/Juegos/3DS Juegos/045496520830_s.jpg
977,28.00,Nintendo 3DS,18.00,14.00,Pokemon X,45496524227,/product_images/Juegos/3DS Juegos/045496524227_s.jpg
977,28.00,Nintendo 3DS,18.00,14.00,Mario Kart 7,45496521301,/product_images/Juegos/3DS Juegos/045496521301_s.jpg
977,18.00,Nintendo 3DS,12.00,9.00,Mario Party: Island Tour,45496524661,/product_images/Juegos/3DS Juegos/045496524661_s.jpg
977,35.00,Nintendo 3DS,23.00,19.00,Yo-Kai Watch,45496472313,/product_images/Juegos/3DS Juegos/045496472313_s.jpg
977,4.00,Nintendo 3DS,1.50,0.90,Gummy Bears Magic Medallion,5050740025561,/product_images/Juegos/3DS Juegos/5050740025561_s.jpg
834,18.00,Nintendo DS,11.00,8.00,New Super Mario Bros.,45496463106,/product_images/Juegos/DS Juegos/045496463106_s.jpg
834,12.00,Nintendo DS,7.00,5.00,Mario Kart DS,45496462338,/product_images/Juegos/DS Juegos/045496462338_s.jpg
834,18.00,Nintendo DS,11.00,8.00,Pokemon Edicion Negra,45496471057,/product_images/Juegos/DS Juegos/045496471057_s.jpg
834,12.00,Nintendo DS,7.00,5.00,Animal Crossing: Wild World,45496462543,/product_images/Juegos/DS Juegos/045496462543_s.jpg
834,2.00,Nintendo DS,0.70,0.40,Brain Training,45496462567,/product_images/Juegos/DS Juegos/045496462567_s.jpg
834,18.00,Nintendo DS,11.00,8.00,Pokemon Edicion Blanca,45496471118,/product_images/Juegos/DS Juegos/045496471118_s.jpg
834,15.00,Nintendo DS,9.00,6.00,Pokemon Diamante,45496464844,/product_images/Juegos/DS Juegos/045496464844_s.jpg
