id_company;company
840;Ubisoft Sofia
839;Locomotive Games
838;Romstar
837;Level-5
836;Kadokawa Games
835;Ronimo Games
834;Insomniac Games
833;Ignition Entertainment
832;Rising Star Games
831;Access Games
830;Sega AM2
829;Wolfteam
828;Alfa System
827;Telenet Japan
826;Namco Tales Studio
825;Vigil Games
824;Square Enix London Studios
823;United Front Games
822;Ubisoft Singapore
821;TDK Mediactive
820;Working Designs
819;Neverland
818;Atlus
817;Taito
816;Atelier Double
815;Vivendi Universal Games
814;SuperVillain Studios
813;Universal Interactive Studios
812;Gradiente
811;Appaloosa Interactive
810;Iguana Entertainment
809;South Park Digital Studios
808;Xbox Live Production
807;Doublesix
806;Tantalus Interactive
805;Other Ocean Interactive
804;Beam Software
803;Arika
802;Eighting/Razing
801;Square Enix Product Development Division 5
800;Jupiter
799;Square Enix Product Development Division 1
798;Ubisoft Australia
797;h.a.n.d.
796;Infinite Game Publishing
795;Ninja Theory
794;Virtuos
793;Pan Interactive
792;O3 Games
791;KongZhong
790;Wargaming.net
789;Buena Vista Games
788;Platinum Egg
787;Aspect
786;Q Entertainment
785;Studio 33
784;Camelot Software Planning
783;Kalypso Media
782;Marvelous Entertainment
781;M2
780;Digitalmindsoft
779;Konami Eighting
778;Konami Mobile
777;Konami Computer Entertainment Kobe
776;KCEN
775;Paon
774;QLOC
773;Nintendo EAD Tokyo
772;Palcom
771;Rare
770;D-Rockets
769;Team Ninja
768;Nintendo Software Technology
767;Fuse Games
766;Retro Studios
765;Intelligent Systems Co., Ltd.
764;Psygnosis
763;38 Studios
762;HAL Laboratory
761;Nintendo Research & Development 1
756;E-Frontier
755;Namco Bandai Partners
754;Legacy Interactive
753;Nordic Games Publishing
750;Cinemaware
749;SCE Cambridge Studio
748;Double Eleven
747;Tarsier Studios
746;Media Molecule
745;Futuremark Games Studio
744;Biart
743;Tripwire Interactive
742;Unigine Corp
741;Toys for Bob
740;Spicy Horse Games
739;GREZZO Co.,Ltd.
738;Evolution Vault
737;Exosyphen Studios
736;Brightside Entertainment
735;K2 Network
734;Reloaded Productions
733;Realtime Worlds
732;Project Soul
731;bitComposer Games
730;Straandlooper Animation
729;TechInform
728;Just Add Water (Development) Ltd
727;Oddworld Inhabitants
726;SCE Bend Studio
725;Buzz Monkey Software
724;Ultimation
723;Aeon Electronic Entertainment
722;343 Industries
720;Infogrames Europe
719;Infogrames North America
718;EA Manchester
717;Red Storm Entertainment
716;Natsume
715;Hitmen Productions
714;ACES Game Studio
713;Raylight Studios
712;EA Mobile
711;Psyonix
710;Mastiff
709;Teyon
708;On-Line Systems
707;ChinaAVG
706;HotGen
705;Shaba Games
704;ASC Games
703;BMG Interactive
702;Ubisoft Montpellier
700;Majesco Entertainment
699;Pipe Dream Interactive
698;Mind Control Software
697;Ubisoft Romania
696;HB Studios
695;Auran Games
694;Visual Concepts
693;Ceris Software
692;High Score Productions
691;HeadGames
690;Torus Games
689;Garena
688;S2 Games
687;Creative Asylum
686;Actualize
685;FASA Interactive
684;Budcat Creations
683;Hypnos Entertainment
682;Reactor Zero
681;Cunning Development
680;Pipeworks Software
679;Tri-Synergy
678;Black Pearl Software
677;XYZ Productions
676;Extended Play Productions
675;Orange Games
674;Maddox Games
673;Blimey! Games
672;Synergex de Argentina
670;Papyrus Design Group
669;Spiral House
668;Digital Jesters
667;Crave Entertainment
666;Iguana UK
665;Williams Entertainment
664;M4 Limited
663;Capcom Production Studio 4
662;Visual Science
661;Image Space Incorporated
660;Capcom Production Studio 1
659;Sledgehammer Games
658;Slant Six Games
657;Underground Development
656;Angel Studios
655;Capcom Production Studio 3
652;Nintendo Australia
651;Sourcenext
650;Reflections Interactive
649;2K Boston
648;Mountain Sheep
647;Related Designs
646;Blue Byte Software
645;Firefly Studios
644;Merit Software
643;Rainmaker Software
642;testcompany1
640;Kesmai
639;Strategic Studies Group
638;Rockstar London
637;Rockstar New England
636;Rockstar Vancouver
635;BreakAway Games
634;Devolver Digital
633;Haage & Partner
632;Ambrosia Software
631;Zonic Limited
630;Koei
629;Sales Curve Interactive
628;Stainless Games
625;Microsoft Research
624;Third Law Interactive
623;DivoGames
622;Jane's Combat Simulations
620;Bungie
619;Red Hat
618;Interactive Simulations
617;Bandai
614;Team 17
613;2D Boy
612;Brighter Minds
611;Celeris
610;Monster Games
609;KCET
608;Broderbund
607;Red Orb Entertainment
606;DreamForge Intertainment
605;400 Software Studios
604;Cavedog Entertainment
603;Humongous Entertainment
602;Burst Studios
598;Headgate
595;VU Games
594;Microïds
593;The Adventure Company
592;Milestone
591;Team Meat
590;eSim Games
589;Shrapnel Games
587;Petroglyph
585;Nayantara Studios
584;Sandlot Games
583;Ironclad Games
582;Random Games
581;Creative Assembly
580;Spellbound Entertainment
579;Big Huge Games
578;Gremlin Interactive
576;Digital Illusions
575;Impressions Games
573;Tri Synergy
572;Appeal
571;Out Of The Park Developments
570;Norm Koger
569;Rocket Science Games
568;SegaSoft
567;Mind Control
566;Midway
564;Presto Studios
563;Rainbow Studios
561;Magnetic Fields
560;Legend Entertainment
559;Rowan Software
558;FASA Studio
555;EA Tiburon
553;Access Software
552;Crystal Dynamics
551;NetDevil
550;Gamestorm
549;Hypnos
548;Eclipse Software
547;Accolade
545;Particle Systems
543;Rage Software
542;Barking Dog
541;Team .366
540;10tacle Studios
539;SimBin
538;Viva Media
537;Massive Entertainment
536;DMA Design
535;Papyrus
534;Sick Puppies
533;Stardock
532;Probe Entertainment
530;Eagle Dynamics
529;Flying Legends
528;SSI (Strategic Simulations, Inc.)
525;GMX Media
524;Lead Pursuit
523;Graphsim Entertainment
522;Origin
519;Graphic Simulations
518;Third Wire
517;Paradox Interactive
516;4HEAD Studios
515;Razorworks Studios
513;Digital Image Design
512;Ocean
510;Larian Studios
508;PlayFirst
507;Volition Inc
506;Parallax Software
505;Outrage Games
503;Introversion
502;Valve Software - duplicate
501;Delphine Software
500;Auran
499;Relic
498;Pyro Studios
496;EA Pacific
495;Big Time Software
494;Battlefront.com
493;Stormregion
492;Atomic Games
491;Dreamworks Games
489;Mindscape
488;Stick Man Games
487;3DO
486;Sports Interactive
485;SCi Games
483;Gray Matter
482;Revolution Software
481;Reflexive Entertainment
479;PopCap
478;Aries Online Games
476;Matrix Games
474;Liquid Entertainment
472;Infinite Monkey
471;Pulse Entertainment
470;Turbine, Inc.
469;JoWooD Entertainment AG
468;Meridian4
467;Digital Integration
466;Interactive Magic
465;U.S. Army
463;MS Game Studios
462;Monolith
461;Fox Interactive
458;Funcom
457;Eugen Systems
456;Crack dot Com
455;Sonalysts
454;EA Sports
453;Zen Studios
452;Threewave Software
451;Terminal Reality
450;Aion Team Development Dept
449;D3 Publisher
448;Vicious Cycle Software
446;Got Game Entertainment
445;505 Games
444;Radical Entertainment
443;Endrant Studios
442;Asobo Studio
440;SCEE
439;Sumo Digital
438;Infinity Ward
437;Avalanche Studios
436;ZootFly
435;Danger Close
434;High Moon Studios
433;Ubisoft Reflections
432;Beenox
431;Ready at Dawn
430;duplicate company name 1
429;Venom Games
428;Treyarch
427;Bugbear Entertainment
426;Disney Interactive Studios
425;Eurocom
423;Deep Silver
422;Carbine Studios
421;Nintendo EAD
420;Flying Wild Hog
419;Project Aces
418;EA Play
416;Syfy Games
414;Croteam
413;Human Head Studios
412;Codemasters Southam
411;Robosoft Technologies
410;Big Blue Box
409;WB Games
408;TimeGate Studios
407;Monolith Productions
406;Ubisoft Massive
405;Spiders
404;Cyanide Studio
403;Sucker Punch Productions
402;Day 1 Studios
401;Naughty Dog
400;SCE Japan Studio
399;Longtail Studios
398;Ubisoft Shanghai
397;Darkworks
396;Dimps
395;Sonic Team
394;Nadeo
393;inXile Entertainment
392;High Voltage Software
391;Red Fly Studio
390;THQ Wireless
389;Universomo
388;JVC
387;Sculptured Software
386;Lucasfilm Animation Singapore
385;Krome Studios
384;Playlogic Entertainment
383;RTL Enterprises
382;Silver Style Entertainment
381;Headfirst Productions
380;Adventure Soft
379;Full Fat
378;Westlake Interactive
377;Firaxis Games
376;Linux Game Publishing
375;Red Ant Enterprises
374;Koch Media
373;Ascaron Entertainment
372;GSC World Publishing
371;Dinamic Multimedia
370;Péndulo Studios
369;Chris Sawyer
368;Infocom
367;Gray Matter Interactive
366;Epyx
365;Rockstar North
364;Rockstar San Diego
363;GRAVITY
362;Pi Studios
361;Hyperion Entertainment
360;Logicware
359;Hammerhead
358;Raster Productions
357;Firebrand Games
356;Slightly Mad Studios
355;Zoo Digital
354;DSI Games
353;Pocketeers
352;Eden Studios
351;EA Montreal
350;EA Seattle
349;Black Box Games
348;Exient Entertainment
347;Criterion Games
346;The Game Designers Studio
345;Think & Feel
344;Macmillan Digital Publishing USA
343;Kronos Digital Entertainment
342;Yosemite Entertainment
341;Bullet-Proof Software
340;Empire Interactive
339;The Assembly Line
338;Encore
337;Square Enix Product Development Division 4
336;Square Enix Product Development Division 3
335;Square Product Development Division 3
334;Sony Computer Entertainment Europe
333;EA Singapore
332;EA Black Box
331;Triumph Studios
330;THQ Asia Pacific
329;Cavia
328;Mean Hamster Software
327;Midway Games
326;Cyan Worlds
325;Saffire
324;Square Soft
323;Nextech
