categoria_id,precio_intercambio,img_caratula,precio_venta,precio_compra,titulo,categoria_str,sku
1001,22.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,35.00,16.00,Call Of Duty: Black Ops III,PlayStation 4,5030917181733
1001,24.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,38.00,18.00,Uncharted 4: El desenlace del ladrón,PlayStation 4,0711719454410
1001,40.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,62.00,29.00,FIFA 17,PlayStation 4,5030937116388
1001,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,12.00,2.00,FIFA 16,PlayStation 4,5030931112881
1001,26.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,40.00,19.00,Call Of Duty: Infinite Warfare,PlayStation 4,5030917197185
1001,33.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,52.00,24.00,Grand Theft Auto V (5),PlayStation 4,5026555417037
1001,22.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,35.00,16.00,Mafia III,PlayStation 4,5026555421690
1001,43.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,60.00,37.00,Watch Dogs 2,PlayStation 4,3307215966730
1001,31.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,48.00,23.00,Final Fantasy XV,PlayStation 4,5021290072985
1001,13.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,20.00,9.00,"Division, The",PlayStation 4,3307215804445
1001,11.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,18.00,8.00,Watch Dogs,PlayStation 4,3307215732939
1001,19.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,30.00,14.00,Assassin's Creed: Syndicate,PlayStation 4,3307215893227
1001,35.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,52.00,29.00,Battlefield 1,PlayStation 4,5030941113762
1001,19.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,30.00,14.00,Star Wars: Battlefront,PlayStation 4,5030934121637
1001,13.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,20.00,9.00,Metal Gear Solid V: The Phantom Pain,PlayStation 4,4012927100417
977,32.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,42.00,29.00,Pokemon Sol,Nintendo 3DS,0045496473358
977,32.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,42.00,29.00,Pokemon Luna,Nintendo 3DS,045496473464
977,16.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,25.00,12.00,Pokemon Y,Nintendo 3DS,045496524333
977,15.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,24.00,11.00,Legend Of Zelda Ocarina Of Time 3D,Nintendo 3DS,045496520830
977,16.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,25.00,12.00,Pokemon: Zafiro Alfa,Nintendo 3DS,045496526320
977,18.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,28.00,13.00,Pokemon Rubi Omega,Nintendo 3DS,045496526313
977,18.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,28.00,13.00,Super Smash Bros.,Nintendo 3DS,0045496526283
977,18.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,28.00,13.00,Pokemon X,Nintendo 3DS,045496524227
977,18.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,28.00,13.00,Mario Kart 7,Nintendo 3DS,045496521301
977,14.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,22.00,10.00,Super Mario 3D Land,Nintendo 3DS,045496521233
977,18.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,28.00,13.00,New Super Mario Bros. 2,Nintendo 3DS,045496522582
977,19.00,/product_images/Juegos/3DS Juegos/045496525507_s.jpg,30.00,14.00,Tomodachi Life,Nintendo 3DS,045496525507
977,18.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,28.00,13.00,Animal Crossing: New Leaf,Nintendo 3DS,045496523848
977,14.00,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,22.00,10.00,Monster Hunter 4 Ultimate,Nintendo 3DS,045496527075
977,23.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,35.00,19.00,Yo-Kai Watch,Nintendo 3DS,045496472313
834,11.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,18.00,8.00,New Super Mario Bros.,Nintendo DS,045496463106
834,7.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,12.00,5.00,Mario Kart DS,Nintendo DS,045496462338
834,7.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,12.00,5.00,Pokemon Mundo Misterioso Equipo Azul,Nintendo DS,045496463595
834,11.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,18.00,8.00,Pokemon Edicion Negra,Nintendo DS,045496471057
834,0.70,/product_images/Juegos/DS Juegos/045496462567_s.jpg,2.00,0.40,Brain Training,Nintendo DS,045496462567
834,0.70,/product_images/Juegos/DS Juegos/045496464721_s.jpg,2.00,0.40,Mas Brain Training,Nintendo DS,045496464721
834,15.00,/product_images/Juegos/DS Juegos/045496465537_s.jpg,25.00,11.00,Pokemon Edicion Blanca 2,Nintendo DS,045496465537
834,11.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,18.00,8.00,Pokemon Edicion Blanca,Nintendo DS,045496471118
834,9.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,15.00,6.00,Pokemon Diamante,Nintendo DS,045496464844
834,1.50,/product_images/Juegos/DS Juegos/045496462246_s.jpg,4.00,0.90,NintenDogs Labrador & Friends,Nintendo DS,045496462246
834,9.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,15.00,6.00,Pokemon Perla,Nintendo DS,045496464936
834,1.70,/product_images/Juegos/DS Juegos/045496470647_s.jpg,4.50,1.00,Inazuma Eleven,Nintendo DS,045496470647
834,17.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,28.00,12.00,Pokemon Edicion Negra 2,Nintendo DS,045496462857
834,1.50,/product_images/Juegos/DS Juegos/045496462963_s.jpg,4.00,0.90,Nintendogs Dalmatian & Friends,Nintendo DS,045496462963
834,25.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,40.00,18.00,Pokemon Plata SoulSilver Sin Pokewalker,Nintendo DS,04549646
830,0.90,/product_images/defimg3_s.jpg,2.50,0.50,"Whispered World, The - Edición Especial",PC,8436016710770
830,0.90,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,3.00,0.40,Imperium III,PC,8436010150671
830,0.40,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,1.50,0.20,Imperium,PC,8436010150275
830,0.30,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,1.00,0.10,Blackguards,PC,8436016710787
830,0.30,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,1.00,0.10,Call of Juarez: Bound in Blood,PC,3307211657861
830,0.90,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,3.00,0.40,Los Sims 2 Mascotas Expansion (SN),PC,8414185032879
830,3.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,10.00,2.00,Los Sims 2 (SN),PC,8414185051528
830,0.30,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,1.00,0.10,Imperium II,PC,8436010150572
830,0.60,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,2.00,0.30,Stasis (P),PC,8414606866977
830,5.00,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,14.00,3.00,Age of Empires Collectors Edition,PC,3307210245281
