precio_compra,precio_venta,img_caratula,precio_intercambio,sku,categoria_id,titulo,categoria_str
19.00,40.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,26.00,5030917181733,1001,Call Of Duty: Black Ops III,PlayStation 4
20.00,42.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,27.00,0711719454410,1001,Uncharted 4: El desenlace del ladrón,PlayStation 4
21.00,45.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,29.00,5030917197185,1001,Call Of Duty: Infinite Warfare,PlayStation 4
4.00,18.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,6.00,5030931112881,1001,FIFA 16,PlayStation 4
31.00,65.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,42.00,5030937116388,1001,FIFA 17,PlayStation 4
33.00,60.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,40.00,3307215966730,1001,Watch Dogs 2,PlayStation 4
26.00,55.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,35.00,5026555417037,1001,Grand Theft Auto V (5),PlayStation 4
18.00,38.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,24.00,5026555421690,1001,Mafia III,PlayStation 4
30.00,55.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,37.00,5030941113762,1001,Battlefield 1,PlayStation 4
28.00,50.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,34.00,5021290072985,1001,Final Fantasy XV,PlayStation 4
12.00,25.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,16.00,3307215804445,1001,"Division, The",PlayStation 4
10.00,22.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,14.00,3307215732939,1001,Watch Dogs,PlayStation 4
16.00,35.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,22.00,3307215893227,1001,Assassin's Creed: Syndicate,PlayStation 4
18.00,38.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,24.00,3307215938782,1001,Far Cry Primal,PlayStation 4
12.00,25.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,16.00,4012927100417,1001,Metal Gear Solid V: The Phantom Pain,PlayStation 4
29.00,42.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,32.00,0045496473358,977,Pokemon Sol,Nintendo 3DS
29.00,42.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,32.00,045496473464,977,Pokemon Luna,Nintendo 3DS
