categoria_str,precio_compra,img_caratula,categoria_id,titulo,precio_venta,sku,precio_intercambio
PlayStation 4,19.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,1001,Call Of Duty: Black Ops III,40.00,5030917181733,26.00
PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,1001,Uncharted 4: El desenlace del ladrón,42.00,0711719454410,27.00
PlayStation 4,21.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,1001,Call Of Duty: Infinite Warfare,45.00,5030917197185,29.00
PlayStation 4,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,1001,FIFA 16,18.00,5030931112881,6.00
PlayStation 4,31.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,1001,FIFA 17,65.00,5030937116388,42.00
PlayStation 4,26.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,1001,Grand Theft Auto V (5),55.00,5026555417037,35.00
PlayStation 4,33.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,1001,Watch Dogs 2,60.00,3307215966730,40.00
PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,1001,Mafia III,38.00,5026555421690,24.00
PlayStation 4,30.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,1001,Battlefield 1,55.00,5030941113762,37.00
PlayStation 4,28.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,1001,Final Fantasy XV,50.00,5021290072985,34.00
PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,1001,"Division, The",25.00,3307215804445,16.00
PlayStation 4,10.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,1001,Watch Dogs,22.00,3307215732939,14.00
PlayStation 4,16.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,1001,Assassin's Creed: Syndicate,35.00,3307215893227,22.00
PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,1001,Metal Gear Solid V: The Phantom Pain,25.00,4012927100417,16.00
PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,1001,Far Cry Primal,38.00,3307215938782,24.00
Nintendo 3DS,29.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,977,Pokemon Sol,42.00,0045496473358,32.00
Nintendo 3DS,29.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,977,Pokemon Luna,42.00,045496473464,32.00
Nintendo 3DS,11.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,977,Legend Of Zelda Ocarina Of Time 3D,24.00,045496520830,15.00
Nintendo 3DS,12.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,977,Pokemon Y,25.00,045496524333,16.00
Nintendo 3DS,12.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,977,Pokemon: Zafiro Alfa,25.00,045496526320,16.00
Nintendo 3DS,13.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,977,Super Smash Bros.,28.00,0045496526283,18.00
Nintendo 3DS,13.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,977,Pokemon Rubi Omega,28.00,045496526313,18.00
Nintendo 3DS,13.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,977,Mario Kart 7,28.00,045496521301,18.00
Nintendo 3DS,13.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,977,Pokemon X,28.00,045496524227,18.00
Nintendo 3DS,10.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,977,Super Mario 3D Land,22.00,045496521233,14.00
Nintendo 3DS,13.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,977,New Super Mario Bros. 2,28.00,045496522582,18.00
Nintendo 3DS,19.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,977,Yo-Kai Watch,35.00,045496472313,23.00
Nintendo 3DS,10.00,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,977,Monster Hunter 4 Ultimate,22.00,045496527075,14.00
Nintendo 3DS,7.00,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,977,Legend of Zelda: A Link Between Worlds,16.00,045496524531,10.00
Nintendo 3DS,14.00,/product_images/Juegos/3DS Juegos/045496525507_s.jpg,977,Tomodachi Life,30.00,045496525507,19.00
Nintendo DS,8.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,834,New Super Mario Bros.,18.00,045496463106,11.00
Nintendo DS,5.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,834,Mario Kart DS,12.00,045496462338,7.00
Nintendo DS,0.40,/product_images/Juegos/DS Juegos/045496462567_s.jpg,834,Brain Training,2.00,045496462567,0.70
Nintendo DS,5.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,834,Pokemon Mundo Misterioso Equipo Azul,12.00,045496463595,7.00
Nintendo DS,8.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,834,Pokemon Edicion Negra,18.00,045496471057,11.00
Nintendo DS,0.90,/product_images/Juegos/DS Juegos/045496462246_s.jpg,834,NintenDogs Labrador & Friends,4.00,045496462246,1.50
Nintendo DS,0.40,/product_images/Juegos/DS Juegos/045496464721_s.jpg,834,Mas Brain Training,2.00,045496464721,0.70
Nintendo DS,12.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,834,Pokemon Edicion Negra 2,28.00,045496462857,17.00
Nintendo DS,6.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,834,Pokemon Diamante,15.00,045496464844,9.00
