precio_compra,titulo,img_caratula,categoria_str,sku,precio_intercambio,precio_venta,categoria_id
19.00,Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,PlayStation 4,5030917181733,26.00,40.00,1001
20.00,Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,PlayStation 4,0711719454410,27.00,42.00,1001
21.00,Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,PlayStation 4,5030917197185,29.00,45.00,1001
26.00,Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,PlayStation 4,5026555417037,35.00,55.00,1001
4.00,FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,PlayStation 4,5030931112881,6.00,18.00,1001
31.00,FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,PlayStation 4,5030937116388,42.00,65.00,1001
33.00,Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,PlayStation 4,3307215966730,40.00,60.00,1001
18.00,Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,PlayStation 4,5026555421690,24.00,38.00,1001
30.00,Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,PlayStation 4,5030941113762,37.00,55.00,1001
10.00,Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,PlayStation 4,3307215732939,14.00,22.00,1001
28.00,Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,PlayStation 4,5021290072985,34.00,50.00,1001
12.00,"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,PlayStation 4,3307215804445,16.00,25.00,1001
16.00,Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,PlayStation 4,3307215893227,22.00,35.00,1001
14.00,Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,PlayStation 4,5030934121637,19.00,30.00,1001
12.00,Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,PlayStation 4,3307215793633,16.00,25.00,1001
26.00,Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Nintendo 3DS,0045496473358,30.00,42.00,977
26.00,Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Nintendo 3DS,045496473464,30.00,42.00,977
12.00,Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Nintendo 3DS,045496520830,16.00,25.00,977
13.00,Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Nintendo 3DS,045496524333,18.00,28.00,977
13.00,Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Nintendo 3DS,045496526320,18.00,28.00,977
13.00,Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Nintendo 3DS,045496521301,18.00,28.00,977
14.00,Super Smash Bros.,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Nintendo 3DS,0045496526283,19.00,30.00,977
12.00,Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Nintendo 3DS,045496526313,16.00,25.00,977
13.00,Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Nintendo 3DS,045496521233,18.00,28.00,977
13.00,Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Nintendo 3DS,045496524227,18.00,28.00,977
19.00,Yo-Kai Watch,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Nintendo 3DS,045496472313,23.00,35.00,977
13.00,New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,Nintendo 3DS,045496522582,18.00,28.00,977
10.00,Monster Hunter 4 Ultimate,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,Nintendo 3DS,045496527075,14.00,22.00,977
9.00,Legend of Zelda: A Link Between Worlds,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,Nintendo 3DS,045496524531,13.00,20.00,977
10.00,Kingdom Hearts 3D: Dream Drop Distance,/product_images/Juegos/3DS Juegos/5021290053519_s.jpg,Nintendo 3DS,5021290053519,14.00,22.00,977
8.00,New Super Mario Bros.,/product_images/Juegos/DS Juegos/045496463106_s.jpg,Nintendo DS,045496463106,11.00,18.00,834
5.00,Mario Kart DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Nintendo DS,045496462338,7.00,12.00,834
0.40,Brain Training,/product_images/Juegos/DS Juegos/045496462567_s.jpg,Nintendo DS,045496462567,0.70,2.00,834
8.00,Pokemon Edicion Negra,/product_images/Juegos/DS Juegos/045496471057_s.jpg,Nintendo DS,045496471057,11.00,18.00,834
5.00,Pokemon Mundo Misterioso Equipo Azul,/product_images/Juegos/DS Juegos/045496463595_s.jpg,Nintendo DS,045496463595,7.00,12.00,834
0.90,NintenDogs Labrador & Friends,/product_images/Juegos/DS Juegos/045496462246_s.jpg,Nintendo DS,045496462246,1.50,4.00,834
12.00,Pokemon Edicion Negra 2,/product_images/Juegos/DS Juegos/045496462857_s.jpg,Nintendo DS,045496462857,17.00,28.00,834
0.40,Mas Brain Training,/product_images/Juegos/DS Juegos/045496464721_s.jpg,Nintendo DS,045496464721,0.70,2.00,834
2.00,Inazuma Eleven 2  Tormenta De Fuego,/product_images/Juegos/DS Juegos/045496471644_s.jpg,Nintendo DS,045496471644,3.00,6.00,834
