titulo,sku,precio_venta,precio_compra,img_caratula,precio_intercambio,categoria_id,categoria_str
Call Of Duty: Black Ops III,5030917181733,40.00,19.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,26.00,1001,PlayStation 4
Uncharted 4: El desenlace del ladrón,0711719454410,42.00,20.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,27.00,1001,PlayStation 4
Call Of Duty: Infinite Warfare,5030917197185,45.00,21.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,29.00,1001,PlayStation 4
Grand Theft Auto V (5),5026555417037,55.00,26.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,35.00,1001,PlayStation 4
FIFA 16,5030931112881,18.00,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,6.00,1001,PlayStation 4
FIFA 17,5030937116388,65.00,31.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,42.00,1001,PlayStation 4
Watch Dogs 2,3307215966730,60.00,33.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,40.00,1001,PlayStation 4
Mafia III,5026555421690,38.00,18.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,24.00,1001,PlayStation 4
Battlefield 1,5030941113762,55.00,30.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,37.00,1001,PlayStation 4
Final Fantasy XV,5021290072985,50.00,28.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,34.00,1001,PlayStation 4
"Division, The",3307215804445,25.00,12.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,16.00,1001,PlayStation 4
Watch Dogs,3307215732939,22.00,10.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,14.00,1001,PlayStation 4
Assassin's Creed: Syndicate,3307215893227,35.00,16.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,22.00,1001,PlayStation 4
Far Cry Primal,3307215938782,38.00,18.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,24.00,1001,PlayStation 4
Star Wars: Battlefront,5030934121637,30.00,14.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,19.00,1001,PlayStation 4
Pokemon Sol,0045496473358,42.00,26.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,30.00,977,Nintendo 3DS
Pokemon Luna,045496473464,42.00,26.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,30.00,977,Nintendo 3DS
Legend Of Zelda Ocarina Of Time 3D,045496520830,25.00,12.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,16.00,977,Nintendo 3DS
Pokemon Y,045496524333,28.00,13.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,18.00,977,Nintendo 3DS
