sku,precio_intercambio,img_caratula,precio_venta,categoria_id,titulo,precio_compra,categoria_str
5026555417037,35.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,55.00,1001,Grand Theft Auto V (5),26.00,PlayStation 4
5030917181733,26.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,40.00,1001,Call Of Duty: Black Ops III,19.00,PlayStation 4
0711719454410,27.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,42.00,1001,Uncharted 4: El desenlace del ladrón,20.00,PlayStation 4
5030917197185,29.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,45.00,1001,Call Of Duty: Infinite Warfare,21.00,PlayStation 4
5030931112881,6.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,18.00,1001,FIFA 16,4.00,PlayStation 4
5030941113762,37.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,55.00,1001,Battlefield 1,30.00,PlayStation 4
5030937116388,42.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,65.00,1001,FIFA 17,31.00,PlayStation 4
3307215966730,40.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,60.00,1001,Watch Dogs 2,33.00,PlayStation 4
5026555421690,24.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,38.00,1001,Mafia III,18.00,PlayStation 4
5021290072985,34.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,50.00,1001,Final Fantasy XV,28.00,PlayStation 4
3307215732939,14.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,22.00,1001,Watch Dogs,10.00,PlayStation 4
3307215804445,16.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,25.00,1001,"Division, The",12.00,PlayStation 4
3307215893227,22.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,35.00,1001,Assassin's Creed: Syndicate,16.00,PlayStation 4
3307215938782,24.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,38.00,1001,Far Cry Primal,18.00,PlayStation 4
5051893179637,19.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,30.00,1001,Batman: Arkham Knight,14.00,PlayStation 4
0045496473358,30.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,42.00,977,Pokemon Sol,26.00,Nintendo 3DS
045496526313,16.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,25.00,977,Pokemon Rubi Omega,12.00,Nintendo 3DS
