titulo,precio_venta,sku,precio_compra,precio_intercambio,img_caratula,categoria_str,categoria_id
Grand Theft Auto V (5),55.00,5026555417037,26.00,35.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,PlayStation 4,1001
Call Of Duty: Infinite Warfare,45.00,5030917197185,21.00,29.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,PlayStation 4,1001
Call Of Duty: Black Ops III,40.00,5030917181733,19.00,26.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,PlayStation 4,1001
FIFA 17,65.00,5030937116388,31.00,42.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,PlayStation 4,1001
Uncharted 4: El desenlace del ladrón,42.00,0711719454410,20.00,27.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,PlayStation 4,1001
FIFA 16,18.00,5030931112881,4.00,6.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,PlayStation 4,1001
Battlefield 1,55.00,5030941113762,30.00,37.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,PlayStation 4,1001
Watch Dogs 2,60.00,3307215966730,33.00,40.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,PlayStation 4,1001
Final Fantasy XV,50.00,5021290072985,28.00,34.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,PlayStation 4,1001
Mafia III,38.00,5026555421690,18.00,24.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,PlayStation 4,1001
"Division, The",25.00,3307215804445,12.00,16.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,PlayStation 4,1001
Watch Dogs,22.00,3307215732939,10.00,14.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,PlayStation 4,1001
Assassin's Creed: Syndicate,35.00,3307215893227,16.00,22.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,PlayStation 4,1001
Far Cry Primal,38.00,3307215938782,18.00,24.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,PlayStation 4,1001
Assassin's Creed: Unity,30.00,3307215803530,14.00,19.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,PlayStation 4,1001
Pokemon Sol,42.00,0045496473358,26.00,30.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Nintendo 3DS,977
Legend Of Zelda Ocarina Of Time 3D,25.00,045496520830,12.00,16.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Nintendo 3DS,977
Pokemon Rubi Omega,25.00,045496526313,12.00,16.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Nintendo 3DS,977
Pokemon Luna,42.00,045496473464,26.00,30.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Nintendo 3DS,977
Pokemon: Zafiro Alfa,28.00,045496526320,13.00,18.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Nintendo 3DS,977
Mario Kart 7,28.00,045496521301,13.00,18.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Nintendo 3DS,977
Pokemon Y,28.00,045496524333,13.00,18.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Nintendo 3DS,977
Pokemon X,28.00,045496524227,13.00,18.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Nintendo 3DS,977
Yo-Kai Watch,35.00,045496472313,19.00,23.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Nintendo 3DS,977
Super Smash Bros.,30.00,0045496526283,14.00,19.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Nintendo 3DS,977
New Super Mario Bros. 2,28.00,045496522582,13.00,18.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,Nintendo 3DS,977
Super Mario 3D Land,28.00,045496521233,13.00,18.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Nintendo 3DS,977
Animal Crossing: New Leaf,30.00,045496523848,14.00,19.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Nintendo 3DS,977
Monster Hunter Generations,32.00,0045496473242,15.00,20.00,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,Nintendo 3DS,977
Legend of Zelda Majora's Mask,30.00,045496527297,16.00,20.00,/product_images/Juegos/3DS Juegos/045496527297_s.jpg,Nintendo 3DS,977
New Super Mario Bros.,18.00,045496463106,8.00,11.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,Nintendo DS,834
Brain Training,2.00,045496462567,0.40,0.70,/product_images/Juegos/DS Juegos/045496462567_s.jpg,Nintendo DS,834
Mario Kart DS,12.00,045496462338,5.00,7.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Nintendo DS,834
Pokemon Edicion Negra,18.00,045496471057,8.00,11.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,Nintendo DS,834
Pokemon Diamante,15.00,045496464844,6.00,9.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,Nintendo DS,834
Pokemon Edicion Blanca,18.00,045496471118,8.00,11.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,Nintendo DS,834
Pokemon Plata SoulSilver Sin Pokewalker,40.00,04549646,18.00,25.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,Nintendo DS,834
Pokemon Mundo Misterioso Equipo Azul,12.00,045496463595,5.00,7.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,Nintendo DS,834
Super Mario 64 DS,16.00,045496462031,7.00,10.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,Nintendo DS,834
Pokemon Edicion Negra 2,28.00,045496462857,12.00,17.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,Nintendo DS,834
NintenDogs Labrador & Friends,4.00,045496462246,0.90,1.50,/product_images/Juegos/DS Juegos/045496462246_s.jpg,Nintendo DS,834
Pokemon Oro HeartGold Sin Pokewalker,40.00,045496469641,18.00,25.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,Nintendo DS,834
Inazuma Eleven,4.50,045496470647,1.00,1.70,/product_images/Juegos/DS Juegos/045496470647_s.jpg,Nintendo DS,834
Pokemon Platino,20.00,045496468644,9.00,12.00,/product_images/Juegos/DS Juegos/045496468644_s.jpg,Nintendo DS,834
Animal Crossing: Wild World,12.00,045496462543,5.00,7.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,Nintendo DS,834
Imperium,1.50,8436010150275,0.20,0.40,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,PC,830
Imperium III,3.00,8436010150671,0.40,0.90,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,PC,830
Warhammer 40000 - Armageddon (SN),2.00,5060193302294,0.30,0.60,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,PC,830
"Runaway, A Road To Adventure",0.10,8436010150398,0.01,0.01,/product_images/Juegos/PC Juegos/8436010150398_s.jpg,PC,830
Imperium II,1.00,8436010150572,0.10,0.30,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,PC,830
Age of Empires Collectors Edition,14.00,3307210245281,3.00,5.00,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,PC,830
Los Sims 2 (SN),10.00,8414185051528,2.00,3.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,PC,830
Call of Juarez: Bound in Blood,1.00,3307211657861,0.10,0.30,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,PC,830
Skyhill,1.00,8414606866984,0.20,0.30,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,PC,830
Colin McRae Rally 2,0.25,843601015054100001,0.01,0.01,/product_images/Juegos/PC Juegos/843601015054100001_s.jpg,PC,830
Need For Speed: Porsche 2000,1.50,8431474003723,0.20,0.40,/product_images/defimg2_s.jpg,PC,830
Pro Race Driver,0.25,8436010150909,0.01,0.01,/product_images/Juegos/PC Juegos/8436010150909_s.jpg,PC,830
Stasis,2.00,8414606866977,0.30,0.60,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,PC,830
Splinter Cell Chaos Theory,0.75,3307210220134,0.10,0.20,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,PC,830
Los Sims Primera Cita (SN) 1cd,0.10,8414185050408,0.01,0.01,/product_images/Juegos/PC Juegos/8414185050408_s.jpg,PC,830
Grand Theft Auto V (5),15.00,5026555410267,6.00,9.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,PlayStation 3,821
FIFA 15,7.00,5030937112373,1.60,2.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,PlayStation 3,821
Call Of Duty: Black Ops II,12.00,5030917111761,2.00,4.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,PlayStation 3,821
Call Of Duty: Ghosts,5.00,5030917126116,2.00,3.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,PlayStation 3,821
Call Of Duty: Modern Warfare 3,5.00,5030917096808,2.00,3.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,PlayStation 3,821
FIFA 14,2.00,5030933111103,0.30,0.60,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,PlayStation 3,821
Call Of Duty: Black Ops,7.00,5030917085802,3.00,4.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,PlayStation 3,821
Grand Theft Auto IV,6.00,5026555400251,2.00,3.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,PlayStation 3,821
FIFA 16,22.00,5030946112869,5.00,8.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,PlayStation 3,821
Minecraft,12.00,711719412915,5.00,7.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,PlayStation 3,821
Gran Turismo 5,5.00,711719190059,1.20,1.90,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,PlayStation 3,821
Assassin's Creed III (3),8.00,3307215644867,3.00,5.00,/product_images/Juegos/PS3 Juegos/3307215644867_s.jpg,PlayStation 3,821
Uncharted 3: Traicion de Drake,8.00,711719123996,3.00,5.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,PlayStation 3,821
FIFA 13,0.50,5030934109680,0.01,0.10,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,PlayStation 3,821
Battlefield 4,10.00,5030930111137,4.00,6.00,/product_images/Juegos/PS3 Juegos/5030930111137_s.jpg,PlayStation 3,821
Minecraft,18.00,711719438519,8.00,11.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,PlayStation Vita,990
FIFA 13,4.00,5030934109901,0.90,1.50,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,PlayStation Vita,990
Uncharted: Golden Abyss,18.00,711719200628,8.00,11.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,PlayStation Vita,990
Need For Speed: Most Wanted 12,15.00,5030934109192,7.00,9.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,PlayStation Vita,990
