sku,categoria_str,categoria_id,img_caratula,precio_intercambio,titulo,precio_compra,precio_venta
5030937116388,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,42.00,FIFA 17,31.00,65.00
5026555417037,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,35.00,Grand Theft Auto V (5),26.00,55.00
5030917197185,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,29.00,Call Of Duty: Infinite Warfare,21.00,45.00
5030917181733,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,26.00,Call Of Duty: Black Ops III,19.00,40.00
0711719454410,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,27.00,Uncharted 4: El desenlace del ladrón,20.00,42.00
5030941113762,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,37.00,Battlefield 1,30.00,55.00
5030931112881,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,6.00,FIFA 16,4.00,18.00
3307215966730,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,40.00,Watch Dogs 2,33.00,60.00
5021290072985,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,34.00,Final Fantasy XV,28.00,50.00
5026555421690,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,24.00,Mafia III,18.00,38.00
3307215804445,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,16.00,"Division, The",12.00,25.00
3307215893227,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,22.00,Assassin's Creed: Syndicate,16.00,35.00
3307215732939,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,14.00,Watch Dogs,10.00,22.00
3307215938782,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,24.00,Far Cry Primal,18.00,38.00
711719838951,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,30.00,"Last Guardian, The",25.00,45.00
0045496473358,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,30.00,Pokemon Sol,26.00,42.00
045496526313,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,16.00,Pokemon Rubi Omega,12.00,25.00
045496473464,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,30.00,Pokemon Luna,26.00,42.00
045496526320,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,18.00,Pokemon: Zafiro Alfa,13.00,28.00
045496520830,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,16.00,Legend Of Zelda Ocarina Of Time 3D,12.00,25.00
045496521301,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,18.00,Mario Kart 7,13.00,28.00
045496524227,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,18.00,Pokemon X,13.00,28.00
045496524333,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,18.00,Pokemon Y,13.00,28.00
0045496526283,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,19.00,Super Smash Bros.,14.00,30.00
045496472313,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,23.00,Yo-Kai Watch,19.00,35.00
045496522582,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,18.00,New Super Mario Bros. 2,13.00,28.00
045496521233,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,18.00,Super Mario 3D Land,13.00,28.00
045496523848,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,19.00,Animal Crossing: New Leaf,14.00,30.00
045496527297,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/045496527297_s.jpg,20.00,Legend of Zelda Majora's Mask,16.00,30.00
0045496473242,Nintendo 3DS,977,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,20.00,Monster Hunter Generations,15.00,32.00
045496463106,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496463106_s.jpg,11.00,New Super Mario Bros.,8.00,18.00
045496462567,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496462567_s.jpg,0.70,Brain Training,0.40,2.00
045496462338,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496462338_s.jpg,7.00,Mario Kart DS,5.00,12.00
045496464844,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496464844_s.jpg,9.00,Pokemon Diamante,6.00,15.00
045496462031,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496462031_s.jpg,10.00,Super Mario 64 DS,7.00,16.00
045496471118,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496471118_s.jpg,11.00,Pokemon Edicion Blanca,8.00,18.00
045496471057,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496471057_s.jpg,11.00,Pokemon Edicion Negra,8.00,18.00
045496463595,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496463595_s.jpg,7.00,Pokemon Mundo Misterioso Equipo Azul,5.00,12.00
04549646,Nintendo DS,834,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,25.00,Pokemon Plata SoulSilver Sin Pokewalker,18.00,40.00
045496464936,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496464936_s.jpg,9.00,Pokemon Perla,6.00,15.00
045496462543,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496462543_s.jpg,7.00,Animal Crossing: Wild World,5.00,12.00
045496468644,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496468644_s.jpg,12.00,Pokemon Platino,9.00,20.00
045496469641,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,25.00,Pokemon Oro HeartGold Sin Pokewalker,18.00,40.00
045496464103,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496464103_s.jpg,5.00,Pokemon Ranger,3.00,8.00
045496470647,Nintendo DS,834,/product_images/Juegos/DS Juegos/045496470647_s.jpg,1.70,Inazuma Eleven,1.00,4.50
8431474003723,PC,830,/product_images/defimg1_s.jpg,0.40,Need For Speed: Porsche 2000,0.20,1.50
8436010150671,PC,830,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.90,Imperium III,0.40,3.00
8436010150572,PC,830,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.30,Imperium II,0.10,1.00
3307210181862,PC,830,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.10,Splinter Cell,0.01,0.50
5060193302294,PC,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.60,Warhammer 40000 - Armageddon (SN),0.30,2.00
8414606866984,PC,830,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,0.30,Skyhill,0.20,1.00
8436010150398,PC,830,/product_images/Juegos/PC Juegos/8436010150398_s.jpg,0.01,"Runaway, A Road To Adventure",0.01,0.10
8431474001200,PC,830,/product_images/defimg1_s.jpg,0.30,Classic Games Collection,0.10,1.00
3307211657861,PC,830,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,0.30,Call of Juarez: Bound in Blood,0.10,1.00
8436016710787,PC,830,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,0.30,Blackguards,0.10,1.00
8436010150275,PC,830,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.40,Imperium,0.20,1.50
8414606866977,PC,830,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,0.60,Stasis,0.30,2.00
8431474002832,PC,830,/product_images/defimg4_s.jpg,0.50,Cine Gramas,0.30,1.50
8436010150909,PC,830,/product_images/Juegos/PC Juegos/8436010150909_s.jpg,0.01,Pro Race Driver,0.01,0.25
8414185050408,PC,830,/product_images/Juegos/PC Juegos/8414185050408_s.jpg,0.01,Los Sims Primera Cita (SN) 1cd,0.01,0.10
5026555410267,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,9.00,Grand Theft Auto V (5),6.00,15.00
5030937112373,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,2.00,FIFA 15,1.60,7.00
5030917111761,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,4.00,Call Of Duty: Black Ops II,2.00,12.00
5030917126116,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,3.00,Call Of Duty: Ghosts,2.00,5.00
5030917096808,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,3.00,Call Of Duty: Modern Warfare 3,2.00,5.00
5030933111103,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,FIFA 14,0.30,2.00
5030917085802,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,4.00,Call Of Duty: Black Ops,3.00,7.00
5026555400251,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,Grand Theft Auto IV,2.00,6.00
5030946112869,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,8.00,FIFA 16,5.00,22.00
5030934109680,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.10,FIFA 13,0.01,0.50
