titulo,img_caratula,categoria_id,categoria_str,precio_intercambio,sku,precio_venta,precio_compra
FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,1001,PlayStation 4,42.00,5030937116388,65.00,31.00
Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,1001,PlayStation 4,35.00,5026555417037,55.00,26.00
Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,1001,PlayStation 4,29.00,5030917197185,45.00,21.00
Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,1001,PlayStation 4,26.00,5030917181733,40.00,19.00
Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,1001,PlayStation 4,27.00,0711719454410,42.00,20.00
Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,1001,PlayStation 4,37.00,5030941113762,55.00,30.00
Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,1001,PlayStation 4,40.00,3307215966730,60.00,33.00
FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,1001,PlayStation 4,6.00,5030931112881,18.00,4.00
Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,1001,PlayStation 4,24.00,5026555421690,38.00,18.00
Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,1001,PlayStation 4,34.00,5021290072985,50.00,28.00
"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,1001,PlayStation 4,16.00,3307215804445,25.00,12.00
Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,1001,PlayStation 4,22.00,3307215893227,35.00,16.00
Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,1001,PlayStation 4,14.00,3307215732939,22.00,10.00
Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,1001,PlayStation 4,16.00,4012927100417,25.00,12.00
Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,1001,PlayStation 4,24.00,3307215938782,38.00,18.00
Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,977,Nintendo 3DS,30.00,0045496473358,42.00,26.00
Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,977,Nintendo 3DS,16.00,045496526313,25.00,12.00
Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,977,Nintendo 3DS,30.00,045496473464,42.00,26.00
Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,977,Nintendo 3DS,16.00,045496520830,25.00,12.00
Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,977,Nintendo 3DS,18.00,045496526320,28.00,13.00
Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,977,Nintendo 3DS,18.00,045496524227,28.00,13.00
Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,977,Nintendo 3DS,18.00,045496524333,28.00,13.00
Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,977,Nintendo 3DS,18.00,045496521301,28.00,13.00
Super Smash Bros.,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,977,Nintendo 3DS,19.00,0045496526283,30.00,14.00
Yo-Kai Watch,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,977,Nintendo 3DS,23.00,045496472313,35.00,19.00
