precio_compra,img_caratula,categoria_str,sku,categoria_id,precio_venta,precio_intercambio,titulo
19.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,PlayStation 4,5030917181733,1001,40.00,26.00,Call Of Duty: Black Ops III
26.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,PlayStation 4,5026555417037,1001,55.00,35.00,Grand Theft Auto V (5)
21.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,PlayStation 4,5030917197185,1001,45.00,29.00,Call Of Duty: Infinite Warfare
31.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,PlayStation 4,5030937116388,1001,65.00,42.00,FIFA 17
20.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,PlayStation 4,0711719454410,1001,42.00,27.00,Uncharted 4: El desenlace del ladrón
30.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,PlayStation 4,5030941113762,1001,55.00,37.00,Battlefield 1
18.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,PlayStation 4,5026555421690,1001,38.00,24.00,Mafia III
33.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,PlayStation 4,3307215966730,1001,60.00,40.00,Watch Dogs 2
4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,PlayStation 4,5030931112881,1001,18.00,6.00,FIFA 16
12.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,PlayStation 4,3307215804445,1001,25.00,16.00,"Division, The"
28.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,PlayStation 4,5021290072985,1001,50.00,34.00,Final Fantasy XV
42.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,PlayStation 4,5055060900574,1001,60.00,46.00,Resident Evil 7: Biohazard
8.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,PlayStation 4,5030917124549,1001,18.00,11.00,Destiny
10.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,PlayStation 4,3307215732939,1001,22.00,14.00,Watch Dogs
25.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,PlayStation 4,711719838951,1001,45.00,30.00,"Last Guardian, The"
26.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Nintendo 3DS,0045496473358,977,42.00,30.00,Pokemon Sol
