categoria_id,precio_compra,titulo,categoria_str,img_caratula,sku,precio_intercambio,precio_venta
1001,20.00,Call Of Duty: Black Ops III,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,27.00,42.00
1001,27.00,Grand Theft Auto V (5),PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,37.00,58.00
1001,42.00,Resident Evil 7: Biohazard,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,46.00,60.00
1001,20.00,Call Of Duty: Infinite Warfare,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,27.00,42.00
1001,32.00,Battlefield 1,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,39.00,58.00
1001,31.00,FIFA 17,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,42.00,65.00
1001,19.00,Uncharted 4: El desenlace del ladrón,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,26.00,40.00
1001,16.00,Mafia III,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,22.00,35.00
1001,26.00,Watch Dogs 2,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,35.00,55.00
1001,12.00,"Division, The",PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,16.00,25.00
1001,7.00,Destiny,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,9.00,15.00
1001,4.00,FIFA 16,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,6.00,18.00
1001,23.00,Final Fantasy XV,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,31.00,48.00
1001,10.00,Metal Gear Solid V: The Phantom Pain,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,4012927100417,14.00,22.00
1001,9.00,Watch Dogs,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,3307215732939,13.00,20.00
977,26.00,Pokemon Sol,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,30.00,42.00
977,26.00,Pokemon Luna,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,30.00,42.00
977,12.00,Pokemon Rubi Omega,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,16.00,25.00
977,13.00,Pokemon Y,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,18.00,28.00
977,13.00,Pokemon: Zafiro Alfa,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,18.00,28.00
977,13.00,Pokemon X,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,18.00,28.00
977,13.00,New Super Mario Bros. 2,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582,18.00,28.00
977,13.00,Mario Kart 7,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301,18.00,28.00
977,12.00,Legend Of Zelda Ocarina Of Time 3D,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,16.00,25.00
977,13.00,Super Mario 3D Land,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233,18.00,28.00
977,14.00,Animal Crossing: New Leaf,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848,19.00,30.00
977,14.00,Super Smash Bros.,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,0045496526283,19.00,30.00
