precio_compra,precio_intercambio,categoria_str,img_caratula,precio_venta,sku,titulo,categoria_id
42.00,46.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,60.00,5055060900574,Resident Evil 7: Biohazard,1001
20.00,27.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,42.00,5030917181733,Call Of Duty: Black Ops III,1001
27.00,37.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,58.00,5026555417037,Grand Theft Auto V (5),1001
20.00,27.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,42.00,5030917197185,Call Of Duty: Infinite Warfare,1001
32.00,39.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,58.00,5030941113762,Battlefield 1,1001
19.00,26.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,40.00,0711719454410,Uncharted 4: El desenlace del ladrón,1001
31.00,42.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,65.00,5030937116388,FIFA 17,1001
12.00,16.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,25.00,3307215804445,"Division, The",1001
16.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,35.00,5026555421690,Mafia III,1001
7.00,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,15.00,5030917124549,Destiny,1001
4.00,6.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,18.00,5030931112881,FIFA 16,1001
26.00,35.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,55.00,3307215966730,Watch Dogs 2,1001
23.00,31.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,48.00,5021290072985,Final Fantasy XV,1001
9.00,13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,20.00,3307215732939,Watch Dogs,1001
10.00,14.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,22.00,4012927100417,Metal Gear Solid V: The Phantom Pain,1001
26.00,30.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,42.00,0045496473358,Pokemon Sol,977
26.00,30.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,42.00,045496473464,Pokemon Luna,977
12.00,16.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,25.00,045496526313,Pokemon Rubi Omega,977
13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,28.00,045496521233,Super Mario 3D Land,977
13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,28.00,045496524333,Pokemon Y,977
13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,28.00,045496526320,Pokemon: Zafiro Alfa,977
9.00,13.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,20.00,045496520830,Legend Of Zelda Ocarina Of Time 3D,977
13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,28.00,045496522582,New Super Mario Bros. 2,977
13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,28.00,045496521301,Mario Kart 7,977
13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,28.00,045496524227,Pokemon X,977
14.00,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,30.00,0045496526283,Super Smash Bros.,977
14.00,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,30.00,045496523848,Animal Crossing: New Leaf,977
9.00,13.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496522629_s.jpg,20.00,045496522629,Profesor Layton: Máscara de los prodigio,977
10.00,14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,22.00,045496527075,Monster Hunter 4 Ultimate,977
9.00,13.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,20.00,045496524531,Legend of Zelda: A Link Between Worlds,977
