categoria_str,precio_intercambio,precio_compra,precio_venta,titulo,img_caratula,categoria_id,sku
PlayStation 4,46.00,42.00,60.00,Resident Evil 7: Biohazard,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,1001,5055060900574
PlayStation 4,36.00,26.00,58.00,Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,1001,5026555417037
PlayStation 4,26.00,18.00,42.00,Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,1001,5030917197185
PlayStation 4,26.00,18.00,42.00,Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,1001,5030917181733
PlayStation 4,39.00,32.00,58.00,Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,1001,5030941113762
PlayStation 4,41.00,29.00,65.00,FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,1001,5030937116388
PlayStation 4,25.00,18.00,40.00,Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,1001,0711719454410
PlayStation 4,6.00,4.00,18.00,FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,1001,5030931112881
PlayStation 4,15.00,11.00,25.00,"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,1001,3307215804445
PlayStation 4,22.00,15.00,35.00,Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,1001,5026555421690
PlayStation 4,9.00,6.00,15.00,Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,1001,5030917124549
PlayStation 4,34.00,24.00,55.00,Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,1001,3307215966730
PlayStation 4,12.00,9.00,20.00,Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,1001,3307215732939
PlayStation 4,22.00,15.00,35.00,Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,1001,3307215938782
PlayStation 4,20.00,14.00,32.00,Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,1001,5030934121637
Nintendo 3DS,30.00,26.00,42.00,Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,977,0045496473358
Nintendo 3DS,16.00,12.00,25.00,Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,977,045496526313
Nintendo 3DS,30.00,26.00,42.00,Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,977,045496473464
Nintendo 3DS,18.00,13.00,28.00,Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,977,045496521233
Nintendo 3DS,13.00,9.00,20.00,Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,977,045496520830
Nintendo 3DS,18.00,13.00,28.00,Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,977,045496524227
Nintendo 3DS,18.00,13.00,28.00,Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,977,045496526320
Nintendo 3DS,18.00,13.00,28.00,Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,977,045496524333
Nintendo 3DS,19.00,14.00,30.00,Animal Crossing: New Leaf,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,977,045496523848
Nintendo 3DS,18.00,13.00,28.00,New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,977,045496522582
Nintendo 3DS,23.00,19.00,35.00,Yo-Kai Watch,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,977,045496472313
Nintendo 3DS,35.00,31.00,45.00,Super Mario Maker,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,977,045496474287
Nintendo 3DS,19.00,14.00,30.00,Super Smash Bros.,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,977,0045496526283
Nintendo 3DS,18.00,13.00,28.00,Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,977,045496521301
Nintendo 3DS,20.00,15.00,32.00,Monster Hunter Generations,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,977,0045496473242
Nintendo DS,11.00,8.00,18.00,New Super Mario Bros.,/product_images/Juegos/DS Juegos/045496463106_s.jpg,834,045496463106
Nintendo DS,9.00,6.00,15.00,Pokemon Diamante,/product_images/Juegos/DS Juegos/045496464844_s.jpg,834,045496464844
Nintendo DS,9.00,6.00,15.00,Mario Kart DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,834,045496462338
Nintendo DS,7.00,5.00,12.00,Animal Crossing: Wild World,/product_images/Juegos/DS Juegos/045496462543_s.jpg,834,045496462543
Nintendo DS,11.00,8.00,18.00,Super Mario 64 DS,/product_images/Juegos/DS Juegos/045496462031_s.jpg,834,045496462031
Nintendo DS,9.00,6.00,15.00,Pokemon Edicion Blanca,/product_images/Juegos/DS Juegos/045496471118_s.jpg,834,045496471118
Nintendo DS,0.70,0.40,2.00,Brain Training,/product_images/Juegos/DS Juegos/045496462567_s.jpg,834,045496462567
Nintendo DS,1.30,0.80,3.50,NintenDogs Labrador & Friends,/product_images/Juegos/DS Juegos/045496462246_s.jpg,834,045496462246
Nintendo DS,7.00,5.00,12.00,Pokemon Mundo Misterioso Equipo Azul,/product_images/Juegos/DS Juegos/045496463595_s.jpg,834,045496463595
Nintendo DS,9.00,6.00,15.00,Pokemon Edicion Negra,/product_images/Juegos/DS Juegos/045496471057_s.jpg,834,045496471057
Nintendo DS,20.00,14.00,32.00,Pokemon Oro HeartGold Sin Pokewalker,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,834,045496469641
Nintendo DS,9.00,6.00,15.00,Pokemon Perla,/product_images/Juegos/DS Juegos/045496464936_s.jpg,834,045496464936
Nintendo DS,15.00,11.00,25.00,Pokemon Edicion Negra 2,/product_images/Juegos/DS Juegos/045496462857_s.jpg,834,045496462857
Nintendo DS,0.70,0.40,2.00,Mas Brain Training,/product_images/Juegos/DS Juegos/045496464721_s.jpg,834,045496464721
Nintendo DS,1.90,1.20,5.00,Inazuma Eleven,/product_images/Juegos/DS Juegos/045496470647_s.jpg,834,045496470647
PC,0.40,0.20,1.50,Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,830,8436010150275
PC,0.01,0.01,0.25,Splinter Cell,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,830,3307210181862
PC,0.20,0.10,0.75,Need For Speed: Porsche 2000,/product_images/defimg1_s.jpg,830,8431474003723
PC,0.40,0.20,1.50,Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,830,8436010150572
