precio_compra,categoria_id,img_caratula,titulo,precio_venta,precio_intercambio,categoria_str,sku
42.00,1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard,60.00,46.00,PlayStation 4,5055060900574
22.00,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),50.00,31.00,PlayStation 4,5026555417037
18.00,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,42.00,26.00,PlayStation 4,5030917197185
18.00,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,42.00,26.00,PlayStation 4,5030917181733
32.00,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,58.00,39.00,PlayStation 4,5030941113762
27.00,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,60.00,37.00,PlayStation 4,5030937116388
18.00,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,40.00,25.00,PlayStation 4,0711719454410
4.00,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,18.00,6.00,PlayStation 4,5030931112881
11.00,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The",25.00,15.00,PlayStation 4,3307215804445
15.00,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,35.00,22.00,PlayStation 4,5026555421690
24.00,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,55.00,34.00,PlayStation 4,3307215966730
9.00,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,Watch Dogs,20.00,12.00,PlayStation 4,3307215732939
15.00,1001,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,Far Cry Primal,35.00,22.00,PlayStation 4,3307215938782
14.00,1001,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,Assassin's Creed: Unity,32.00,20.00,PlayStation 4,3307215803530
21.00,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,48.00,30.00,PlayStation 4,5021290072985
26.00,977,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol,42.00,30.00,Nintendo 3DS,0045496473358
12.00,977,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega,25.00,16.00,Nintendo 3DS,045496526313
26.00,977,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna,42.00,30.00,Nintendo 3DS,045496473464
13.00,977,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X,28.00,18.00,Nintendo 3DS,045496524227
9.00,977,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,20.00,13.00,Nintendo 3DS,045496520830
13.00,977,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,28.00,18.00,Nintendo 3DS,045496526320
13.00,977,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y,28.00,18.00,Nintendo 3DS,045496524333
31.00,977,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,Super Mario Maker,45.00,35.00,Nintendo 3DS,045496474287
13.00,977,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land,28.00,18.00,Nintendo 3DS,045496521233
14.00,977,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Animal Crossing: New Leaf,30.00,19.00,Nintendo 3DS,045496523848
13.00,977,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2,28.00,18.00,Nintendo 3DS,045496522582
13.00,977,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7,28.00,18.00,Nintendo 3DS,045496521301
14.00,977,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.,30.00,19.00,Nintendo 3DS,0045496526283
9.00,977,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,Legend of Zelda: A Link Between Worlds,20.00,13.00,Nintendo 3DS,045496524531
10.00,977,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,Monster Hunter 4 Ultimate,22.00,14.00,Nintendo 3DS,045496527075
8.00,834,/product_images/Juegos/DS Juegos/045496463106_s.jpg,New Super Mario Bros.,18.00,11.00,Nintendo DS,045496463106
6.00,834,/product_images/Juegos/DS Juegos/045496464844_s.jpg,Pokemon Diamante,15.00,9.00,Nintendo DS,045496464844
5.00,834,/product_images/Juegos/DS Juegos/045496462543_s.jpg,Animal Crossing: Wild World,12.00,7.00,Nintendo DS,045496462543
0.40,834,/product_images/Juegos/DS Juegos/045496462567_s.jpg,Brain Training,2.00,0.70,Nintendo DS,045496462567
6.00,834,/product_images/Juegos/DS Juegos/045496471118_s.jpg,Pokemon Edicion Blanca,15.00,9.00,Nintendo DS,045496471118
6.00,834,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Mario Kart DS,15.00,9.00,Nintendo DS,045496462338
0.80,834,/product_images/Juegos/DS Juegos/045496462246_s.jpg,NintenDogs Labrador & Friends,3.50,1.30,Nintendo DS,045496462246
8.00,834,/product_images/Juegos/DS Juegos/045496462031_s.jpg,Super Mario 64 DS,18.00,11.00,Nintendo DS,045496462031
5.00,834,/product_images/Juegos/DS Juegos/045496463595_s.jpg,Pokemon Mundo Misterioso Equipo Azul,12.00,7.00,Nintendo DS,045496463595
6.00,834,/product_images/Juegos/DS Juegos/045496471057_s.jpg,Pokemon Edicion Negra,15.00,9.00,Nintendo DS,045496471057
14.00,834,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,Pokemon Oro HeartGold Sin Pokewalker,32.00,20.00,Nintendo DS,045496469641
11.00,834,/product_images/Juegos/DS Juegos/045496462857_s.jpg,Pokemon Edicion Negra 2,25.00,15.00,Nintendo DS,045496462857
6.00,834,/product_images/Juegos/DS Juegos/045496465377_s.jpg,Legend of Zelda: Phantom Hourglass,15.00,9.00,Nintendo DS,045496465377
6.00,834,/product_images/Juegos/DS Juegos/045496464936_s.jpg,Pokemon Perla,15.00,9.00,Nintendo DS,045496464936
9.00,834,/product_images/Juegos/DS Juegos/045496468644_s.jpg,Pokemon Platino,20.00,12.00,Nintendo DS,045496468644
3.00,830,/product_images/Juegos/PC Juegos/3760156480831_s.jpg,Moto Racer 4 (P),15.00,5.00,PC,3760156480831
2.00,830,/product_images/Juegos/PC Juegos/3760156481111_s.jpg,Yesterday Origins (P),12.00,4.00,PC,3760156481111
0.10,830,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,Duck Tales Remastered,0.75,0.20,PC,5055060972328
0.10,830,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,Stasis,1.00,0.30,PC,8414606866977
0.01,830,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,Crookz: The Big Heist (P),0.15,0.01,PC,4260089416710
0.10,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,Warhammer 40000 - Armageddon (SN),1.00,0.30,PC,5060193302294
0.20,830,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,Imperium,1.50,0.40,PC,8436010150275
0.01,830,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,Splinter Cell,0.25,0.01,PC,3307210181862
0.40,830,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,"Whispered World, The - Edición Especial",2.00,0.70,PC,8436016710770
0.10,830,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,Caos En Deponia,0.75,0.20,PC,8436010154587
0.90,830,/product_images/Juegos/PC Juegos/3307210243874_s.jpg,Age of Mythology Gold Edition,4.00,1.50,PC,3307210243874
2.00,830,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,Los Sims 2 (SN),12.00,4.00,PC,8414185051528
0.50,830,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,Imperium III,3.50,1.00,PC,8436010150671
0.01,830,/product_images/Juegos/PC Juegos/4020636128615_s.jpg,Lords Of Xulima,0.50,0.10,PC,4020636128615
0.10,830,/product_images/Juegos/PC Juegos/8436010154037_s.jpg,"Fuga De Deponia, La",0.75,0.20,PC,8436010154037
6.00,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,Grand Theft Auto V (5),15.00,9.00,PlayStation 3,5026555410267
2.00,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,Call Of Duty: Black Ops II,12.00,4.00,PlayStation 3,5030917111761
2.00,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,Call Of Duty: Modern Warfare 3,5.00,3.00,PlayStation 3,5030917096808
1.60,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,FIFA 15,7.00,2.00,PlayStation 3,5030937112373
3.00,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,Call Of Duty: Black Ops,7.00,4.00,PlayStation 3,5030917085802
1.20,821,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,Gran Turismo 5,5.00,1.90,PlayStation 3,711719190059
0.01,821,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,FIFA 13,0.50,0.10,PlayStation 3,5030934109680
2.00,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,Call Of Duty: Ghosts,5.00,3.00,PlayStation 3,5030917126116
0.30,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,FIFA 14,2.00,0.60,PlayStation 3,5030933111103
11.00,821,/product_images/Juegos/PS3 Juegos/5030917162459_s.jpg,Call Of Duty: Black Ops III,25.00,15.00,PlayStation 3,5030917162459
3.00,821,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,Uncharted 3: Traicion de Drake,8.00,5.00,PlayStation 3,711719123996
5.00,821,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,Call Of Duty: Advanced Warfare,12.00,7.00,PlayStation 3,5030917147906
2.00,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,Grand Theft Auto IV,6.00,3.00,PlayStation 3,5026555400251
5.00,821,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,FIFA 16,22.00,8.00,PlayStation 3,5030946112869
5.00,821,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,Minecraft,12.00,7.00,PlayStation 3,711719412915
9.00,990,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,Minecraft,20.00,13.00,PlayStation Vita,711719438519
3.00,990,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,Space Hulk,7.00,4.00,PlayStation Vita,5055377602352
7.00,990,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,Uncharted: Golden Abyss,15.00,9.00,PlayStation Vita,711719200628
10.00,990,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,Call of Duty Black Ops- Declassified,22.00,14.00,PlayStation Vita,5030917114083
5.00,990,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,Assassin's Creed III (3): Liberation,12.00,7.00,PlayStation Vita,3307215652312
2.00,990,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,XBlaze Code : Embryo,5.00,3.00,PlayStation Vita,5055377602314
1.20,990,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,FIFA 13,5.00,1.90,PlayStation Vita,5030934109901
8.00,990,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,Need For Speed: Most Wanted 12,18.00,11.00,PlayStation Vita,5030934109192
7.00,990,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,Killzone Mercenary,15.00,9.00,PlayStation Vita,711719251163
13.00,990,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,FIFA 15,28.00,18.00,PlayStation Vita,5035225113223
1.40,990,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,Invizimals - La Alianza,6.00,2.00,PlayStation Vita,711719287667
10.00,990,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,God Of War Collection,22.00,14.00,PlayStation Vita,711719279488
1.40,990,/product_images/Juegos/PS Vita Juegos/5030934105927_s.jpg,FIFA Football,6.00,2.00,PlayStation Vita,5030934105927
3.00,990,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,FIFA 14,8.00,5.00,PlayStation Vita,5030939111404
4.00,990,/product_images/Juegos/PS Vita Juegos/3499550320107_s.jpg,WRC 4 FIA World Rally Championship,10.00,6.00,PlayStation Vita,3499550320107
0.40,862,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,Gran Turismo,3.00,0.90,PSP,711719151159
1.00,862,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,Grand Theft Auto Vice City Stories,5.00,1.80,PSP,5026555280785
0.01,862,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,Invizimals La Otra Dimension (Solo Juego,0.50,0.10,PSP,711719169772
0.90,862,/product_images/Juegos/PSP Juegos/5030934059435_s.jpg,Los Simpson - El Videojuego,4.50,1.60,PSP,5030934059435
1.00,862,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,Grand Theft Auto: Liberty City Stories,5.00,1.80,PSP,5026555280143
1.00,862,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,Assassin's Creed: Bloodlines,5.00,1.80,PSP,3307211667679
0.40,862,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,Medievil: Resurreccion,3.00,0.90,PSP,711719678250
