titulo,sku,precio_intercambio,precio_compra,categoria_str,precio_venta,categoria_id,img_caratula
Resident Evil 7: Biohazard,5055060900574,46.00,42.00,PlayStation 4,60.00,1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg
Grand Theft Auto V (5),5026555417037,31.00,22.00,PlayStation 4,50.00,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg
Call Of Duty: Infinite Warfare,5030917197185,26.00,18.00,PlayStation 4,42.00,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg
Call Of Duty: Black Ops III,5030917181733,26.00,18.00,PlayStation 4,42.00,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg
Battlefield 1,5030941113762,39.00,32.00,PlayStation 4,58.00,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg
FIFA 17,5030937116388,37.00,27.00,PlayStation 4,60.00,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg
Uncharted 4: El desenlace del ladrón,0711719454410,25.00,18.00,PlayStation 4,40.00,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg
FIFA 16,5030931112881,6.00,4.00,PlayStation 4,18.00,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg
"Division, The",3307215804445,15.00,11.00,PlayStation 4,25.00,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg
Mafia III,5026555421690,22.00,15.00,PlayStation 4,35.00,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg
Watch Dogs 2,3307215966730,34.00,24.00,PlayStation 4,55.00,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg
Watch Dogs,3307215732939,12.00,9.00,PlayStation 4,20.00,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg
Assassin's Creed: Unity,3307215803530,20.00,14.00,PlayStation 4,32.00,1001,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg
Far Cry Primal,3307215938782,22.00,15.00,PlayStation 4,35.00,1001,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg
Final Fantasy XV,5021290072985,30.00,21.00,PlayStation 4,48.00,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg
Pokemon Sol,0045496473358,30.00,26.00,Nintendo 3DS,42.00,977,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg
Pokemon Rubi Omega,045496526313,16.00,12.00,Nintendo 3DS,25.00,977,/product_images/Juegos/3DS Juegos/045496526313_s.jpg
Pokemon Luna,045496473464,30.00,26.00,Nintendo 3DS,42.00,977,/product_images/Juegos/3DS Juegos/045496473464_s.jpg
Pokemon X,045496524227,18.00,13.00,Nintendo 3DS,28.00,977,/product_images/Juegos/3DS Juegos/045496524227_s.jpg
Legend Of Zelda Ocarina Of Time 3D,045496520830,13.00,9.00,Nintendo 3DS,20.00,977,/product_images/Juegos/3DS Juegos/045496520830_s.jpg
Pokemon: Zafiro Alfa,045496526320,18.00,13.00,Nintendo 3DS,28.00,977,/product_images/Juegos/3DS Juegos/045496526320_s.jpg
Pokemon Y,045496524333,18.00,13.00,Nintendo 3DS,28.00,977,/product_images/Juegos/3DS Juegos/045496524333_s.jpg
Super Mario 3D Land,045496521233,18.00,13.00,Nintendo 3DS,28.00,977,/product_images/Juegos/3DS Juegos/045496521233_s.jpg
Animal Crossing: New Leaf,045496523848,19.00,14.00,Nintendo 3DS,30.00,977,/product_images/Juegos/3DS Juegos/045496523848_s.jpg
Super Mario Maker,045496474287,35.00,31.00,Nintendo 3DS,45.00,977,/product_images/Juegos/3DS Juegos/045496474287_s.jpg
New Super Mario Bros. 2,045496522582,18.00,13.00,Nintendo 3DS,28.00,977,/product_images/Juegos/3DS Juegos/045496522582_s.jpg
Mario Kart 7,045496521301,18.00,13.00,Nintendo 3DS,28.00,977,/product_images/Juegos/3DS Juegos/045496521301_s.jpg
Super Smash Bros.,0045496526283,19.00,14.00,Nintendo 3DS,30.00,977,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg
Legend of Zelda: A Link Between Worlds,045496524531,13.00,9.00,Nintendo 3DS,20.00,977,/product_images/Juegos/3DS Juegos/045496524531_s.jpg
Yo-Kai Watch,045496472313,23.00,19.00,Nintendo 3DS,35.00,977,/product_images/Juegos/3DS Juegos/045496472313_s.jpg
New Super Mario Bros.,045496463106,11.00,8.00,Nintendo DS,18.00,834,/product_images/Juegos/DS Juegos/045496463106_s.jpg
Mario Kart DS,045496462338,9.00,6.00,Nintendo DS,15.00,834,/product_images/Juegos/DS Juegos/045496462338_s.jpg
Brain Training,045496462567,0.70,0.40,Nintendo DS,2.00,834,/product_images/Juegos/DS Juegos/045496462567_s.jpg
Pokemon Diamante,045496464844,9.00,6.00,Nintendo DS,15.00,834,/product_images/Juegos/DS Juegos/045496464844_s.jpg
Pokemon Edicion Blanca,045496471118,9.00,6.00,Nintendo DS,15.00,834,/product_images/Juegos/DS Juegos/045496471118_s.jpg
Animal Crossing: Wild World,045496462543,7.00,5.00,Nintendo DS,12.00,834,/product_images/Juegos/DS Juegos/045496462543_s.jpg
Pokemon Edicion Negra,045496471057,9.00,6.00,Nintendo DS,15.00,834,/product_images/Juegos/DS Juegos/045496471057_s.jpg
Super Mario 64 DS,045496462031,11.00,8.00,Nintendo DS,18.00,834,/product_images/Juegos/DS Juegos/045496462031_s.jpg
Pokemon Mundo Misterioso Equipo Azul,045496463595,7.00,5.00,Nintendo DS,12.00,834,/product_images/Juegos/DS Juegos/045496463595_s.jpg
NintenDogs Labrador & Friends,045496462246,1.30,0.80,Nintendo DS,3.50,834,/product_images/Juegos/DS Juegos/045496462246_s.jpg
Pokemon Oro HeartGold Sin Pokewalker,045496469641,20.00,14.00,Nintendo DS,32.00,834,/product_images/Juegos/DS Juegos/045496469641B_s.jpg
Pokemon Perla,045496464936,9.00,6.00,Nintendo DS,15.00,834,/product_images/Juegos/DS Juegos/045496464936_s.jpg
Legend of Zelda: Phantom Hourglass,045496465377,9.00,6.00,Nintendo DS,15.00,834,/product_images/Juegos/DS Juegos/045496465377_s.jpg
Pokemon Edicion Negra 2,045496462857,15.00,11.00,Nintendo DS,25.00,834,/product_images/Juegos/DS Juegos/045496462857_s.jpg
Pokemon Plata SoulSilver Sin Pokewalker,04549646,22.00,15.00,Nintendo DS,35.00,834,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg
Yesterday Origins (P),3760156481111,4.00,2.00,PC,12.00,830,/product_images/Juegos/PC Juegos/3760156481111_s.jpg
Moto Racer 4 (P),3760156480831,5.00,3.00,PC,15.00,830,/product_images/Juegos/PC Juegos/3760156480831_s.jpg
Duck Tales Remastered,5055060972328,0.20,0.10,PC,0.75,830,/product_images/Juegos/PC Juegos/5055060972328_s.jpg
Crookz: The Big Heist (P),4260089416710,0.01,0.01,PC,0.15,830,/product_images/Juegos/PC Juegos/4260089416710_s.jpg
Stasis,8414606866977,0.30,0.10,PC,1.00,830,/product_images/Juegos/PC Juegos/8414606866977_s.jpg
"Whispered World, The - Edición Especial",8436016710770,0.70,0.40,PC,2.00,830,/product_images/Juegos/PC Juegos/8436016710770_s.jpg
Warhammer 40000 - Armageddon (SN),5060193302294,0.30,0.10,PC,1.00,830,/product_images/Juegos/PC Juegos/5060193302294_s.jpg
Imperium,8436010150275,0.40,0.20,PC,1.50,830,/product_images/Juegos/PC Juegos/8436010150275_s.jpg
Caos En Deponia,8436010154587,0.20,0.10,PC,0.75,830,/product_images/Juegos/PC Juegos/8436010154587_s.jpg
Need For Speed: Porsche 2000,8431474003723,0.20,0.10,PC,0.75,830,/product_images/defimg4_s.jpg
Splinter Cell,3307210181862,0.01,0.01,PC,0.25,830,/product_images/Juegos/PC Juegos/3307210181862_s.jpg
Order of batlle Pacific (P),5060193302485,0.20,0.10,PC,0.75,830,/product_images/Juegos/PC Juegos/5060193302485_s.jpg
"Fuga De Deponia, La",8436010154037,0.20,0.10,PC,0.75,830,/product_images/Juegos/PC Juegos/8436010154037_s.jpg
Lords Of Xulima,4020636128615,0.10,0.01,PC,0.50,830,/product_images/Juegos/PC Juegos/4020636128615_s.jpg
Age of Empires Collectors Edition,3307210245281,4.00,2.00,PC,12.00,830,/product_images/Juegos/PC Juegos/3307210245281_s.jpg
Grand Theft Auto V (5),5026555410267,9.00,6.00,PlayStation 3,15.00,821,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg
Call Of Duty: Black Ops II,5030917111761,4.00,2.00,PlayStation 3,12.00,821,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg
Call Of Duty: Modern Warfare 3,5030917096808,3.00,2.00,PlayStation 3,5.00,821,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg
FIFA 15,5030937112373,2.00,1.60,PlayStation 3,7.00,821,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg
Call Of Duty: Black Ops,5030917085802,4.00,3.00,PlayStation 3,7.00,821,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg
Gran Turismo 5,711719190059,1.90,1.20,PlayStation 3,5.00,821,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg
Call Of Duty: Ghosts,5030917126116,3.00,2.00,PlayStation 3,5.00,821,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg
FIFA 13,5030934109680,0.10,0.01,PlayStation 3,0.50,821,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg
FIFA 14,5030933111103,0.60,0.30,PlayStation 3,2.00,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg
Uncharted 3: Traicion de Drake,711719123996,5.00,3.00,PlayStation 3,8.00,821,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg
Call Of Duty: Advanced Warfare,5030917147906,7.00,5.00,PlayStation 3,12.00,821,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg
Grand Theft Auto IV,5026555400251,3.00,2.00,PlayStation 3,6.00,821,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg
Call Of Duty: Black Ops III,5030917162459,15.00,11.00,PlayStation 3,25.00,821,/product_images/Juegos/PS3 Juegos/5030917162459_s.jpg
FIFA 16,5030946112869,8.00,5.00,PlayStation 3,22.00,821,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg
Minecraft,711719412915,7.00,5.00,PlayStation 3,12.00,821,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg
Minecraft,711719438519,13.00,9.00,PlayStation Vita,20.00,990,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg
Uncharted: Golden Abyss,711719200628,9.00,7.00,PlayStation Vita,15.00,990,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg
Call of Duty Black Ops- Declassified,5030917114083,14.00,10.00,PlayStation Vita,22.00,990,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg
Assassin's Creed III (3): Liberation,3307215652312,7.00,5.00,PlayStation Vita,12.00,990,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg
XBlaze Code : Embryo,5055377602314,3.00,2.00,PlayStation Vita,5.00,990,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg
Space Hulk,5055377602352,4.00,3.00,PlayStation Vita,7.00,990,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg
FIFA 13,5030934109901,1.90,1.20,PlayStation Vita,5.00,990,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg
Need For Speed: Most Wanted 12,5030934109192,11.00,8.00,PlayStation Vita,18.00,990,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg
God Of War Collection,711719279488,14.00,10.00,PlayStation Vita,22.00,990,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg
Killzone Mercenary,711719251163,9.00,7.00,PlayStation Vita,15.00,990,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg
WRC 4 FIA World Rally Championship,3499550320107,6.00,4.00,PlayStation Vita,10.00,990,/product_images/Juegos/PS Vita Juegos/3499550320107_s.jpg
FIFA 15,5035225113223,18.00,13.00,PlayStation Vita,28.00,990,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg
