precio_venta,categoria_id,img_caratula,precio_intercambio,precio_compra,categoria_str,sku,titulo
60.00,1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,46.00,42.00,PlayStation 4,5055060900574,Resident Evil 7: Biohazard
42.00,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,26.00,18.00,PlayStation 4,5030917181733,Call Of Duty: Black Ops III
50.00,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,31.00,22.00,PlayStation 4,5026555417037,Grand Theft Auto V (5)
42.00,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,26.00,18.00,PlayStation 4,5030917197185,Call Of Duty: Infinite Warfare
58.00,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,39.00,32.00,PlayStation 4,5030941113762,Battlefield 1
60.00,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,37.00,27.00,PlayStation 4,5030937116388,FIFA 17
40.00,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,25.00,18.00,PlayStation 4,0711719454410,Uncharted 4: El desenlace del ladrón
18.00,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,6.00,4.00,PlayStation 4,5030931112881,FIFA 16
35.00,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,22.00,15.00,PlayStation 4,5026555421690,Mafia III
25.00,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,15.00,11.00,PlayStation 4,3307215804445,"Division, The"
55.00,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,34.00,24.00,PlayStation 4,3307215966730,Watch Dogs 2
32.00,1001,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,20.00,14.00,PlayStation 4,3307215803530,Assassin's Creed: Unity
32.00,1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,20.00,14.00,PlayStation 4,3307215893227,Assassin's Creed: Syndicate
48.00,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,30.00,21.00,PlayStation 4,5021290072985,Final Fantasy XV
15.00,1001,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,9.00,6.00,PlayStation 4,5030917124549,Destiny
42.00,977,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,30.00,26.00,Nintendo 3DS,0045496473358,Pokemon Sol
42.00,977,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,30.00,26.00,Nintendo 3DS,045496473464,Pokemon Luna
25.00,977,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,16.00,12.00,Nintendo 3DS,045496526313,Pokemon Rubi Omega
20.00,977,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,13.00,9.00,Nintendo 3DS,045496520830,Legend Of Zelda Ocarina Of Time 3D
45.00,977,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,35.00,31.00,Nintendo 3DS,045496474287,Super Mario Maker
28.00,977,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,18.00,13.00,Nintendo 3DS,045496524227,Pokemon X
28.00,977,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,18.00,13.00,Nintendo 3DS,045496524333,Pokemon Y
28.00,977,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,18.00,13.00,Nintendo 3DS,045496521301,Mario Kart 7
28.00,977,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,18.00,13.00,Nintendo 3DS,045496526320,Pokemon: Zafiro Alfa
28.00,977,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,18.00,13.00,Nintendo 3DS,045496521233,Super Mario 3D Land
30.00,977,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,19.00,14.00,Nintendo 3DS,045496523848,Animal Crossing: New Leaf
28.00,977,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,18.00,13.00,Nintendo 3DS,045496522582,New Super Mario Bros. 2
30.00,977,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,19.00,14.00,Nintendo 3DS,0045496526283,Super Smash Bros.
35.00,977,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,23.00,19.00,Nintendo 3DS,045496472313,Yo-Kai Watch
22.00,977,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,14.00,10.00,Nintendo 3DS,045496527075,Monster Hunter 4 Ultimate
18.00,834,/product_images/Juegos/DS Juegos/045496463106_s.jpg,11.00,8.00,Nintendo DS,045496463106,New Super Mario Bros.
15.00,834,/product_images/Juegos/DS Juegos/045496464844_s.jpg,9.00,6.00,Nintendo DS,045496464844,Pokemon Diamante
