precio_compra,precio_venta,titulo,categoria_str,categoria_id,img_caratula,precio_intercambio,sku
42.00,60.00,Resident Evil 7: Biohazard,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,46.00,5055060900574
32.00,58.00,Battlefield 1,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,39.00,5030941113762
18.00,42.00,Call Of Duty: Black Ops III,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,26.00,5030917181733
22.00,50.00,Grand Theft Auto V (5),PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,31.00,5026555417037
18.00,42.00,Call Of Duty: Infinite Warfare,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,26.00,5030917197185
27.00,60.00,FIFA 17,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,37.00,5030937116388
18.00,40.00,Uncharted 4: El desenlace del ladrón,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,25.00,0711719454410
4.00,18.00,FIFA 16,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,6.00,5030931112881
15.00,35.00,Mafia III,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,22.00,5026555421690
24.00,55.00,Watch Dogs 2,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,34.00,3307215966730
11.00,25.00,"Division, The",PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,15.00,3307215804445
21.00,48.00,Final Fantasy XV,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,30.00,5021290072985
6.00,15.00,Destiny,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,9.00,5030917124549
14.00,32.00,Assassin's Creed: Syndicate,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,20.00,3307215893227
14.00,32.00,Assassin's Creed: Unity,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,20.00,3307215803530
