titulo,precio_venta,categoria_id,precio_compra,sku,img_caratula,categoria_str,precio_intercambio
Resident Evil 7: Biohazard,60.00,1001,37.00,5055060900574,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,PlayStation 4,43.00
Call Of Duty: Black Ops III,42.00,1001,18.00,5030917181733,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,PlayStation 4,26.00
Battlefield 1,55.00,1001,24.00,5030941113762,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,PlayStation 4,34.00
Grand Theft Auto V (5),50.00,1001,22.00,5026555417037,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,PlayStation 4,31.00
Call Of Duty: Infinite Warfare,35.00,1001,15.00,5030917197185,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,PlayStation 4,22.00
FIFA 17,60.00,1001,27.00,5030937116388,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,PlayStation 4,37.00
Mafia III,28.00,1001,12.00,5026555421690,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,PlayStation 4,17.00
FIFA 16,18.00,1001,4.00,5030931112881,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,PlayStation 4,6.00
Uncharted 4: El desenlace del ladrón,35.00,1001,15.00,0711719454410,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,PlayStation 4,22.00
Assassin's Creed: Syndicate,28.00,1001,12.00,3307215893227,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,PlayStation 4,17.00
Watch Dogs 2,45.00,1001,20.00,3307215966730,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,PlayStation 4,28.00
Assassin's Creed: Unity,25.00,1001,11.00,3307215803530,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,PlayStation 4,15.00
"Division, The",20.00,1001,9.00,3307215804445,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,PlayStation 4,12.00
Final Fantasy XV,42.00,1001,18.00,5021290072985,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,PlayStation 4,26.00
Destiny,12.00,1001,2.00,5030917124549,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,PlayStation 4,4.00
Pokemon Sol,40.00,977,19.00,0045496473358,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Nintendo 3DS,26.00
Pokemon Rubi Omega,25.00,977,12.00,045496526313,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Nintendo 3DS,16.00
Pokemon Luna,38.00,977,18.00,045496473464,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Nintendo 3DS,24.00
Legend Of Zelda Ocarina Of Time 3D,20.00,977,9.00,045496520830,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Nintendo 3DS,13.00
Super Mario Maker,38.00,977,18.00,045496474287,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,Nintendo 3DS,24.00
Pokemon Y,25.00,977,12.00,045496524333,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Nintendo 3DS,16.00
