img_caratula,categoria_id,titulo,precio_venta,precio_compra,precio_intercambio,sku,categoria_str
/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,1001,Call Of Duty: Black Ops III,42.00,18.00,26.00,5030917181733,PlayStation 4
/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,1001,Resident Evil 7: Biohazard,60.00,37.00,43.00,5055060900574,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,1001,Call Of Duty: Infinite Warfare,35.00,15.00,22.00,5030917197185,PlayStation 4
/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,1001,Grand Theft Auto V (5),50.00,22.00,31.00,5026555417037,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,1001,For Honor (No DLC),65.00,45.00,50.00,3307215914946,PlayStation 4
/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,1001,Uncharted 4: El desenlace del ladrón,35.00,15.00,22.00,0711719454410,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,1001,FIFA 17,60.00,27.00,37.00,5030937116388,PlayStation 4
/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,1001,Mafia III,28.00,12.00,17.00,5026555421690,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,1001,Battlefield 1,55.00,24.00,34.00,5030941113762,PlayStation 4
/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,1001,FIFA 16,18.00,4.00,6.00,5030931112881,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,1001,Watch Dogs 2,45.00,20.00,28.00,3307215966730,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,1001,Assassin's Creed: Syndicate,28.00,12.00,17.00,3307215893227,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,1001,"Division, The",20.00,9.00,12.00,3307215804445,PlayStation 4
/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,1001,Final Fantasy XV,42.00,18.00,26.00,5021290072985,PlayStation 4
/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,1001,Assassin's Creed: Unity,25.00,11.00,15.00,3307215803530,PlayStation 4
/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,977,Pokemon Sol,40.00,19.00,26.00,0045496473358,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496473464_s.jpg,977,Pokemon Luna,38.00,18.00,24.00,045496473464,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496520830_s.jpg,977,Legend Of Zelda Ocarina Of Time 3D,20.00,9.00,13.00,045496520830,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496526320_s.jpg,977,Pokemon: Zafiro Alfa,22.00,10.00,14.00,045496526320,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496526313_s.jpg,977,Pokemon Rubi Omega,25.00,12.00,16.00,045496526313,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496524333_s.jpg,977,Pokemon Y,25.00,12.00,16.00,045496524333,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496524227_s.jpg,977,Pokemon X,25.00,12.00,16.00,045496524227,Nintendo 3DS
/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,977,Super Smash Bros.,30.00,14.00,19.00,0045496526283,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496523848_s.jpg,977,Animal Crossing: New Leaf,30.00,14.00,19.00,045496523848,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496474287_s.jpg,977,Super Mario Maker,38.00,18.00,24.00,045496474287,Nintendo 3DS
/product_images/Juegos/3DS Juegos/045496521233_s.jpg,977,Super Mario 3D Land,28.00,13.00,18.00,045496521233,Nintendo 3DS
