sku,categoria_str,categoria_id,titulo,precio_intercambio,precio_compra,img_caratula,precio_venta
5030917181733,PlayStation 4,1001,Call Of Duty: Black Ops III,26.00,18.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,42.00
5055060900574,PlayStation 4,1001,Resident Evil 7: Biohazard,43.00,37.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,60.00
5030917197185,PlayStation 4,1001,Call Of Duty: Infinite Warfare,22.00,15.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,35.00
5026555417037,PlayStation 4,1001,Grand Theft Auto V (5),31.00,22.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,50.00
3307215914946,PlayStation 4,1001,For Honor (No DLC),50.00,45.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,65.00
0711719454410,PlayStation 4,1001,Uncharted 4: El desenlace del ladrón,22.00,15.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,35.00
5030937116388,PlayStation 4,1001,FIFA 17,37.00,27.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,60.00
5026555421690,PlayStation 4,1001,Mafia III,17.00,12.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,28.00
5030931112881,PlayStation 4,1001,FIFA 16,6.00,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,18.00
5030941113762,PlayStation 4,1001,Battlefield 1,34.00,24.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,55.00
3307215893227,PlayStation 4,1001,Assassin's Creed: Syndicate,17.00,12.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,28.00
3307215966730,PlayStation 4,1001,Watch Dogs 2,28.00,20.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,45.00
3307215804445,PlayStation 4,1001,"Division, The",12.00,9.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,20.00
5021290072985,PlayStation 4,1001,Final Fantasy XV,26.00,18.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,42.00
5030934121637,PlayStation 4,1001,Star Wars: Battlefront,15.00,11.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,25.00
0045496473358,Nintendo 3DS,977,Pokemon Sol,26.00,19.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,40.00
045496526320,Nintendo 3DS,977,Pokemon: Zafiro Alfa,14.00,10.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,22.00
045496520830,Nintendo 3DS,977,Legend Of Zelda Ocarina Of Time 3D,13.00,9.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,20.00
045496473464,Nintendo 3DS,977,Pokemon Luna,24.00,18.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,38.00
045496526313,Nintendo 3DS,977,Pokemon Rubi Omega,16.00,12.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,25.00
045496524333,Nintendo 3DS,977,Pokemon Y,16.00,12.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,25.00
0045496526283,Nintendo 3DS,977,Super Smash Bros.,19.00,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,30.00
045496524227,Nintendo 3DS,977,Pokemon X,16.00,12.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,25.00
045496521233,Nintendo 3DS,977,Super Mario 3D Land,18.00,13.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,28.00
045496523848,Nintendo 3DS,977,Animal Crossing: New Leaf,19.00,14.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,30.00
045496521301,Nintendo 3DS,977,Mario Kart 7,18.00,13.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,28.00
045496474287,Nintendo 3DS,977,Super Mario Maker,24.00,18.00,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,38.00
045496472313,Nintendo 3DS,977,Yo-Kai Watch,19.00,14.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,30.00
045496522582,Nintendo 3DS,977,New Super Mario Bros. 2,18.00,13.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,28.00
045496525507,Nintendo 3DS,977,Tomodachi Life,18.00,13.00,/product_images/Juegos/3DS Juegos/045496525507_s.jpg,28.00
045496463106,Nintendo DS,834,New Super Mario Bros.,11.00,8.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,18.00
045496462338,Nintendo DS,834,Mario Kart DS,9.00,6.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,15.00
045496464844,Nintendo DS,834,Pokemon Diamante,9.00,6.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,15.00
045496462567,Nintendo DS,834,Brain Training,0.70,0.40,/product_images/Juegos/DS Juegos/045496462567_s.jpg,2.00
045496462246,Nintendo DS,834,NintenDogs Labrador & Friends,1.30,0.80,/product_images/Juegos/DS Juegos/045496462246_s.jpg,3.50
045496462543,Nintendo DS,834,Animal Crossing: Wild World,7.00,5.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,12.00
045496464936,Nintendo DS,834,Pokemon Perla,9.00,6.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,15.00
04549646,Nintendo DS,834,Pokemon Plata SoulSilver Sin Pokewalker,22.00,15.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,35.00
