categoria_id,categoria_str,precio_venta,sku,precio_compra,img_caratula,precio_intercambio,titulo
1001,PlayStation 4,42.00,5030917181733,18.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,26.00,Call Of Duty: Black Ops III
1001,PlayStation 4,60.00,5055060900574,37.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,43.00,Resident Evil 7: Biohazard
1001,PlayStation 4,65.00,3307215914946,45.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,50.00,For Honor (No DLC)
1001,PlayStation 4,35.00,5030917197185,15.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,22.00,Call Of Duty: Infinite Warfare
1001,PlayStation 4,50.00,5026555417037,22.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,31.00,Grand Theft Auto V (5)
1001,PlayStation 4,35.00,0711719454410,15.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,22.00,Uncharted 4: El desenlace del ladrón
1001,PlayStation 4,60.00,5030937116388,27.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,37.00,FIFA 17
1001,PlayStation 4,28.00,5026555421690,12.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,17.00,Mafia III
1001,PlayStation 4,18.00,5030931112881,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,6.00,FIFA 16
1001,PlayStation 4,45.00,3307215966730,20.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,28.00,Watch Dogs 2
1001,PlayStation 4,55.00,5030941113762,24.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,34.00,Battlefield 1
1001,PlayStation 4,28.00,3307215893227,12.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,17.00,Assassin's Creed: Syndicate
1001,PlayStation 4,20.00,3307215804445,9.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,12.00,"Division, The"
1001,PlayStation 4,65.00,711719817963,45.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,50.00,Nioh
1001,PlayStation 4,25.00,5030934121637,11.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,15.00,Star Wars: Battlefront
977,Nintendo 3DS,40.00,0045496473358,19.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,26.00,Pokemon Sol
977,Nintendo 3DS,25.00,045496526313,12.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,16.00,Pokemon Rubi Omega
977,Nintendo 3DS,38.00,045496473464,18.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,24.00,Pokemon Luna
977,Nintendo 3DS,22.00,045496526320,10.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,14.00,Pokemon: Zafiro Alfa
977,Nintendo 3DS,20.00,045496520830,9.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,13.00,Legend Of Zelda Ocarina Of Time 3D
977,Nintendo 3DS,25.00,045496524333,12.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,16.00,Pokemon Y
977,Nintendo 3DS,25.00,045496524227,12.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,16.00,Pokemon X
977,Nintendo 3DS,30.00,0045496526283,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,19.00,Super Smash Bros.
977,Nintendo 3DS,28.00,045496521233,13.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,18.00,Super Mario 3D Land
977,Nintendo 3DS,28.00,045496521301,13.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,18.00,Mario Kart 7
977,Nintendo 3DS,28.00,045496522582,13.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,18.00,New Super Mario Bros. 2
977,Nintendo 3DS,30.00,045496523848,14.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,19.00,Animal Crossing: New Leaf
977,Nintendo 3DS,30.00,045496472313,14.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,19.00,Yo-Kai Watch
977,Nintendo 3DS,38.00,045496474287,18.00,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,24.00,Super Mario Maker
977,Nintendo 3DS,28.00,0045496473242,13.00,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,18.00,Monster Hunter Generations
834,Nintendo DS,18.00,045496463106,8.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,11.00,New Super Mario Bros.
834,Nintendo DS,15.00,045496464844,6.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,9.00,Pokemon Diamante
834,Nintendo DS,15.00,045496462338,6.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,9.00,Mario Kart DS
834,Nintendo DS,2.00,045496462567,0.40,/product_images/Juegos/DS Juegos/045496462567_s.jpg,0.70,Brain Training
834,Nintendo DS,3.50,045496462246,0.80,/product_images/Juegos/DS Juegos/045496462246_s.jpg,1.30,NintenDogs Labrador & Friends
834,Nintendo DS,35.00,04549646,15.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,22.00,Pokemon Plata SoulSilver Sin Pokewalker
834,Nintendo DS,12.00,045496462543,5.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,7.00,Animal Crossing: Wild World
834,Nintendo DS,15.00,045496464936,6.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,9.00,Pokemon Perla
834,Nintendo DS,15.00,045496471118,6.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,9.00,Pokemon Edicion Blanca
834,Nintendo DS,18.00,045496462031,8.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,11.00,Super Mario 64 DS
834,Nintendo DS,12.00,5051893041279,5.00,/product_images/Juegos/DS Juegos/5051893041279_s.jpg,7.00,Super ScribbleNauts
834,Nintendo DS,5.00,045496470647,1.20,/product_images/Juegos/DS Juegos/045496470647_s.jpg,1.90,Inazuma Eleven
834,Nintendo DS,5.00,045496462963,1.20,/product_images/Juegos/DS Juegos/045496462963_s.jpg,1.90,Nintendogs Dalmatian & Friends
834,Nintendo DS,15.00,045496465377,6.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,9.00,Legend of Zelda: Phantom Hourglass
