titulo,categoria_id,precio_compra,precio_venta,img_caratula,categoria_str,precio_intercambio,sku
Call Of Duty: Black Ops III,1001,18.00,42.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,PlayStation 4,26.00,5030917181733
For Honor (No DLC),1001,45.00,65.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,PlayStation 4,50.00,3307215914946
Call Of Duty: Infinite Warfare,1001,15.00,35.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,PlayStation 4,22.00,5030917197185
Resident Evil 7: Biohazard,1001,37.00,60.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,PlayStation 4,43.00,5055060900574
Uncharted 4: El desenlace del ladrón,1001,15.00,35.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,PlayStation 4,22.00,0711719454410
Grand Theft Auto V (5),1001,22.00,50.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,PlayStation 4,31.00,5026555417037
FIFA 17,1001,27.00,60.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,PlayStation 4,37.00,5030937116388
Mafia III,1001,12.00,28.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,PlayStation 4,17.00,5026555421690
FIFA 16,1001,4.00,18.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,PlayStation 4,6.00,5030931112881
Watch Dogs 2,1001,20.00,45.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,PlayStation 4,28.00,3307215966730
Battlefield 1,1001,24.00,55.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,PlayStation 4,34.00,5030941113762
Assassin's Creed: Syndicate,1001,12.00,28.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,PlayStation 4,17.00,3307215893227
Nioh,1001,45.00,65.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,PlayStation 4,50.00,711719817963
"Division, The",1001,9.00,20.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,PlayStation 4,12.00,3307215804445
Star Wars: Battlefront,1001,11.00,25.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,PlayStation 4,15.00,5030934121637
Pokemon Sol,977,19.00,40.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Nintendo 3DS,26.00,0045496473358
Pokemon Luna,977,18.00,38.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Nintendo 3DS,24.00,045496473464
Pokemon: Zafiro Alfa,977,10.00,22.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Nintendo 3DS,14.00,045496526320
Pokemon Rubi Omega,977,12.00,25.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Nintendo 3DS,16.00,045496526313
Legend Of Zelda Ocarina Of Time 3D,977,9.00,20.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Nintendo 3DS,13.00,045496520830
Pokemon Y,977,12.00,25.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Nintendo 3DS,16.00,045496524333
Mario Kart 7,977,13.00,28.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Nintendo 3DS,18.00,045496521301
Super Smash Bros.,977,14.00,30.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Nintendo 3DS,19.00,0045496526283
Pokemon X,977,12.00,25.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Nintendo 3DS,16.00,045496524227
Super Mario 3D Land,977,13.00,28.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Nintendo 3DS,18.00,045496521233
New Super Mario Bros. 2,977,13.00,28.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,Nintendo 3DS,18.00,045496522582
Yo-Kai Watch,977,14.00,30.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Nintendo 3DS,19.00,045496472313
Animal Crossing: New Leaf,977,14.00,30.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Nintendo 3DS,19.00,045496523848
Tomodachi Life,977,13.00,28.00,/product_images/Juegos/3DS Juegos/045496525507_s.jpg,Nintendo 3DS,18.00,045496525507
Super Mario Maker,977,18.00,38.00,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,Nintendo 3DS,24.00,045496474287
New Super Mario Bros.,834,8.00,18.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,Nintendo DS,11.00,045496463106
Pokemon Diamante,834,6.00,15.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,Nintendo DS,9.00,045496464844
Mario Kart DS,834,6.00,15.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Nintendo DS,9.00,045496462338
NintenDogs Labrador & Friends,834,0.80,3.50,/product_images/Juegos/DS Juegos/045496462246_s.jpg,Nintendo DS,1.30,045496462246
Animal Crossing: Wild World,834,5.00,12.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,Nintendo DS,7.00,045496462543
