categoria_id,precio_compra,img_caratula,sku,precio_venta,titulo,categoria_str,precio_intercambio
1001,18.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,42.00,Call Of Duty: Black Ops III,PlayStation 4,26.00
1001,45.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,3307215914946,65.00,For Honor (No DLC),PlayStation 4,50.00
1001,15.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,35.00,Call Of Duty: Infinite Warfare,PlayStation 4,22.00
1001,15.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,35.00,Uncharted 4: El desenlace del ladrón,PlayStation 4,22.00
1001,37.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,60.00,Resident Evil 7: Biohazard,PlayStation 4,43.00
1001,22.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,50.00,Grand Theft Auto V (5),PlayStation 4,31.00
1001,27.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,60.00,FIFA 17,PlayStation 4,37.00
1001,12.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,28.00,Mafia III,PlayStation 4,17.00
1001,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,18.00,FIFA 16,PlayStation 4,6.00
1001,20.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,45.00,Watch Dogs 2,PlayStation 4,28.00
1001,24.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,55.00,Battlefield 1,PlayStation 4,34.00
1001,12.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,3307215893227,28.00,Assassin's Creed: Syndicate,PlayStation 4,17.00
1001,9.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,20.00,"Division, The",PlayStation 4,12.00
1001,11.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,5030934121637,25.00,Star Wars: Battlefront,PlayStation 4,15.00
1001,45.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,711719817963,65.00,Nioh,PlayStation 4,50.00
977,19.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,40.00,Pokemon Sol,Nintendo 3DS,26.00
977,18.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,38.00,Pokemon Luna,Nintendo 3DS,24.00
977,10.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,22.00,Pokemon: Zafiro Alfa,Nintendo 3DS,14.00
977,12.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,25.00,Pokemon Rubi Omega,Nintendo 3DS,16.00
977,9.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,20.00,Legend Of Zelda Ocarina Of Time 3D,Nintendo 3DS,13.00
977,12.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,25.00,Pokemon Y,Nintendo 3DS,16.00
977,13.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301,28.00,Mario Kart 7,Nintendo 3DS,18.00
977,13.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233,28.00,Super Mario 3D Land,Nintendo 3DS,18.00
977,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,0045496526283,30.00,Super Smash Bros.,Nintendo 3DS,19.00
977,12.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,25.00,Pokemon X,Nintendo 3DS,16.00
977,13.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582,28.00,New Super Mario Bros. 2,Nintendo 3DS,18.00
977,14.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848,30.00,Animal Crossing: New Leaf,Nintendo 3DS,19.00
977,13.00,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,0045496473242,28.00,Monster Hunter Generations,Nintendo 3DS,18.00
977,14.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,045496472313,30.00,Yo-Kai Watch,Nintendo 3DS,19.00
977,13.00,/product_images/Juegos/3DS Juegos/045496525507_s.jpg,045496525507,28.00,Tomodachi Life,Nintendo 3DS,18.00
834,8.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,045496463106,18.00,New Super Mario Bros.,Nintendo DS,11.00
834,6.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,045496462338,15.00,Mario Kart DS,Nintendo DS,9.00
834,5.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,045496462543,12.00,Animal Crossing: Wild World,Nintendo DS,7.00
834,6.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,045496464936,15.00,Pokemon Perla,Nintendo DS,9.00
834,6.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,045496464844,15.00,Pokemon Diamante,Nintendo DS,9.00
834,0.40,/product_images/Juegos/DS Juegos/045496462567_s.jpg,045496462567,2.00,Brain Training,Nintendo DS,0.70
834,15.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,04549646,35.00,Pokemon Plata SoulSilver Sin Pokewalker,Nintendo DS,22.00
834,0.80,/product_images/Juegos/DS Juegos/045496462246_s.jpg,045496462246,3.50,NintenDogs Labrador & Friends,Nintendo DS,1.30
834,8.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,045496462031,18.00,Super Mario 64 DS,Nintendo DS,11.00
834,5.00,/product_images/Juegos/DS Juegos/5051893041279_s.jpg,5051893041279,12.00,Super ScribbleNauts,Nintendo DS,7.00
