categoria_id,img_caratula,precio_compra,categoria_str,titulo,sku,precio_venta,precio_intercambio
1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,18.00,PlayStation 4,Call Of Duty: Black Ops III,5030917181733,42.00,26.00
1001,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,45.00,PlayStation 4,For Honor (No DLC),3307215914946,65.00,50.00
1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,15.00,PlayStation 4,Call Of Duty: Infinite Warfare,5030917197185,35.00,22.00
1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,37.00,PlayStation 4,Resident Evil 7: Biohazard,5055060900574,60.00,43.00
1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,15.00,PlayStation 4,Uncharted 4: El desenlace del ladrón,0711719454410,35.00,22.00
1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,22.00,PlayStation 4,Grand Theft Auto V (5),5026555417037,50.00,31.00
1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,27.00,PlayStation 4,FIFA 17,5030937116388,60.00,37.00
1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,12.00,PlayStation 4,Mafia III,5026555421690,28.00,17.00
1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,4.00,PlayStation 4,FIFA 16,5030931112881,18.00,6.00
1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,20.00,PlayStation 4,Watch Dogs 2,3307215966730,45.00,28.00
1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,24.00,PlayStation 4,Battlefield 1,5030941113762,55.00,34.00
1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,12.00,PlayStation 4,Assassin's Creed: Syndicate,3307215893227,28.00,17.00
1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,9.00,PlayStation 4,"Division, The",3307215804445,20.00,12.00
1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,11.00,PlayStation 4,Star Wars: Battlefront,5030934121637,25.00,15.00
1001,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,45.00,PlayStation 4,Nioh,711719817963,65.00,50.00
977,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,19.00,Nintendo 3DS,Pokemon Sol,0045496473358,40.00,26.00
977,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,18.00,Nintendo 3DS,Pokemon Luna,045496473464,38.00,24.00
977,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,10.00,Nintendo 3DS,Pokemon: Zafiro Alfa,045496526320,22.00,14.00
977,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,12.00,Nintendo 3DS,Pokemon Rubi Omega,045496526313,25.00,16.00
977,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,9.00,Nintendo 3DS,Legend Of Zelda Ocarina Of Time 3D,045496520830,20.00,13.00
977,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,12.00,Nintendo 3DS,Pokemon Y,045496524333,25.00,16.00
977,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,13.00,Nintendo 3DS,Super Mario 3D Land,045496521233,28.00,18.00
977,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,14.00,Nintendo 3DS,Super Smash Bros.,0045496526283,30.00,19.00
977,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,12.00,Nintendo 3DS,Pokemon X,045496524227,25.00,16.00
977,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,13.00,Nintendo 3DS,Mario Kart 7,045496521301,28.00,18.00
977,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,13.00,Nintendo 3DS,New Super Mario Bros. 2,045496522582,28.00,18.00
977,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,14.00,Nintendo 3DS,Animal Crossing: New Leaf,045496523848,30.00,19.00
977,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,13.00,Nintendo 3DS,Monster Hunter Generations,0045496473242,28.00,18.00
977,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,14.00,Nintendo 3DS,Yo-Kai Watch,045496472313,30.00,19.00
977,/product_images/Juegos/3DS Juegos/045496525507_s.jpg,13.00,Nintendo 3DS,Tomodachi Life,045496525507,28.00,18.00
834,/product_images/Juegos/DS Juegos/045496463106_s.jpg,8.00,Nintendo DS,New Super Mario Bros.,045496463106,18.00,11.00
834,/product_images/Juegos/DS Juegos/045496462338_s.jpg,6.00,Nintendo DS,Mario Kart DS,045496462338,15.00,9.00
834,/product_images/Juegos/DS Juegos/045496462543_s.jpg,5.00,Nintendo DS,Animal Crossing: Wild World,045496462543,12.00,7.00
