titulo,categoria_id,precio_compra,precio_intercambio,categoria_str,img_caratula,sku,precio_venta
For Honor (No DLC),1001,45.00,50.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,3307215914946,65.00
Call Of Duty: Black Ops III,1001,18.00,26.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,42.00
Uncharted 4: El desenlace del ladrón,1001,15.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,35.00
Grand Theft Auto V (5),1001,22.00,31.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,50.00
Call Of Duty: Infinite Warfare,1001,15.00,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,35.00
Resident Evil 7: Biohazard,1001,37.00,43.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,60.00
FIFA 17,1001,27.00,37.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,60.00
FIFA 16,1001,4.00,6.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,18.00
Mafia III,1001,12.00,17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,28.00
"Division, The",1001,9.00,12.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,20.00
Watch Dogs 2,1001,20.00,28.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,45.00
Battlefield 1,1001,24.00,34.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,55.00
Nioh,1001,45.00,50.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,711719817963,65.00
Star Wars: Battlefront,1001,11.00,15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,5030934121637,25.00
Watch Dogs,1001,6.00,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,3307215732939,15.00
Pokemon Luna,977,18.00,24.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,38.00
Pokemon Sol,977,19.00,26.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,40.00
Legend Of Zelda Ocarina Of Time 3D,977,9.00,13.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,20.00
Pokemon Y,977,12.00,16.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,25.00
Pokemon: Zafiro Alfa,977,10.00,14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,22.00
Pokemon Rubi Omega,977,12.00,16.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,25.00
Super Smash Bros.,977,14.00,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,0045496526283,30.00
Pokemon X,977,12.00,16.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,25.00
Mario Kart 7,977,13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301,28.00
Super Mario 3D Land,977,13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233,28.00
New Super Mario Bros. 2,977,13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582,28.00
Monster Hunter Generations,977,13.00,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,0045496473242,28.00
Animal Crossing: New Leaf,977,14.00,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848,30.00
Yo-Kai Watch,977,14.00,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,045496472313,30.00
Monster Hunter 4 Ultimate,977,10.00,14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,045496527075,22.00
New Super Mario Bros.,834,8.00,11.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496463106_s.jpg,045496463106,18.00
Mario Kart DS,834,6.00,9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,045496462338,15.00
Animal Crossing: Wild World,834,5.00,7.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496462543_s.jpg,045496462543,12.00
Pokemon Perla,834,6.00,9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496464936_s.jpg,045496464936,15.00
Pokemon Diamante,834,6.00,9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496464844_s.jpg,045496464844,15.00
Brain Training,834,0.40,0.70,Nintendo DS,/product_images/Juegos/DS Juegos/045496462567_s.jpg,045496462567,2.00
NintenDogs Labrador & Friends,834,0.80,1.30,Nintendo DS,/product_images/Juegos/DS Juegos/045496462246_s.jpg,045496462246,3.50
Pokemon Plata SoulSilver Sin Pokewalker,834,15.00,22.00,Nintendo DS,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,04549646,35.00
Super Mario 64 DS,834,8.00,11.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496462031_s.jpg,045496462031,18.00
Pokemon Oro HeartGold Sin Pokewalker,834,14.00,20.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,045496469641,32.00
Legend of Zelda: Phantom Hourglass,834,6.00,9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496465377_s.jpg,045496465377,15.00
Pokemon Mundo Misterioso Equipo Azul,834,5.00,7.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496463595_s.jpg,045496463595,12.00
Mas Brain Training,834,0.40,0.70,Nintendo DS,/product_images/Juegos/DS Juegos/045496464721_s.jpg,045496464721,2.00
Pokemon Edicion Blanca,834,6.00,9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496471118_s.jpg,045496471118,15.00
Super ScribbleNauts,834,5.00,7.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893041279_s.jpg,5051893041279,12.00
Warhammer 40000 - Armageddon (SN),830,0.10,0.30,PC,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,5060193302294,1.00
"Whispered World, The - Edición Especial",830,0.40,0.70,PC,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,8436016710770,2.00
Splinter Cell,830,0.01,0.01,PC,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,3307210181862,0.25
Divinity: Original Sin (P),830,1.20,1.90,PC,/product_images/Juegos/PC Juegos/740781770142_s.jpg,740781770142,5.00
Yesterday Origins (P),830,2.00,4.00,PC,/product_images/Juegos/PC Juegos/3760156481111_s.jpg,3760156481111,12.00
Crookz: The Big Heist (P),830,0.01,0.01,PC,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,4260089416710,0.15
Stasis,830,0.10,0.30,PC,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,8414606866977,1.00
Imperium III,830,0.50,1.00,PC,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,8436010150671,3.50
Blackguards,830,0.10,0.30,PC,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,8436016710787,1.00
Los Sims 2 (SN),830,2.00,4.00,PC,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,8414185051528,12.00
Age of Empires (Gold Edition),830,0.90,1.60,PC,/product_images/Juegos/PC Juegos/3307210148971_s.jpg,3307210148971,4.50
Duck Tales Remastered,830,0.10,0.20,PC,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,5055060972328,0.75
CSI: Crime Scene Investigation,830,0.01,0.01,PC,/product_images/Juegos/PC Juegos/3307210136817_s.jpg,3307210136817,0.10
