precio_compra,precio_intercambio,img_caratula,categoria_id,sku,titulo,categoria_str,precio_venta
17.00,24.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,1001,5030917181733,Call Of Duty: Black Ops III,PlayStation 4,38.00
14.00,20.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,1001,0711719454410,Uncharted 4: El desenlace del ladrón,PlayStation 4,32.00
20.00,28.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,1001,5026555417037,Grand Theft Auto V (5),PlayStation 4,45.00
34.00,42.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,1001,3307215914946,For Honor (No DLC),PlayStation 4,62.00
13.00,18.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,1001,5030917197185,Call Of Duty: Infinite Warfare,PlayStation 4,30.00
3.00,5.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,1001,5030931112881,FIFA 16,PlayStation 4,15.00
24.00,34.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,1001,5030937116388,FIFA 17,PlayStation 4,55.00
8.00,11.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,1001,3307215804445,"Division, The",PlayStation 4,18.00
11.00,15.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,1001,5026555421690,Mafia III,PlayStation 4,25.00
32.00,39.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,1001,5055060900574,Resident Evil 7: Biohazard,PlayStation 4,58.00
18.00,25.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,1001,3307215966730,Watch Dogs 2,PlayStation 4,40.00
22.00,31.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,1001,5030941113762,Battlefield 1,PlayStation 4,50.00
34.00,42.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,1001,711719817963,Nioh,PlayStation 4,62.00
9.00,12.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,1001,5030934121637,Star Wars: Battlefront,PlayStation 4,20.00
15.00,22.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,1001,711719407515,"Last of Us, The - Remastered",PlayStation 4,35.00
9.00,13.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,977,045496520830,Legend Of Zelda Ocarina Of Time 3D,Nintendo 3DS,20.00
18.00,24.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,977,045496473464,Pokemon Luna,Nintendo 3DS,38.00
18.00,24.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,977,0045496473358,Pokemon Sol,Nintendo 3DS,38.00
13.00,18.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,977,045496524227,Pokemon X,Nintendo 3DS,28.00
13.00,18.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,977,045496521233,Super Mario 3D Land,Nintendo 3DS,28.00
14.00,19.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,977,0045496526283,Super Smash Bros.,Nintendo 3DS,30.00
10.00,14.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,977,045496524333,Pokemon Y,Nintendo 3DS,22.00
12.00,16.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,977,045496526313,Pokemon Rubi Omega,Nintendo 3DS,25.00
14.00,19.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,977,045496521301,Mario Kart 7,Nintendo 3DS,30.00
12.00,16.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,977,045496526320,Pokemon: Zafiro Alfa,Nintendo 3DS,25.00
14.00,19.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,977,045496522582,New Super Mario Bros. 2,Nintendo 3DS,30.00
14.00,19.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,977,045496523848,Animal Crossing: New Leaf,Nintendo 3DS,30.00
14.00,19.00,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,977,0045496473242,Monster Hunter Generations,Nintendo 3DS,30.00
12.00,16.00,/product_images/Juegos/3DS Juegos/045496528164_s.jpg,977,045496528164,Animal Crossing: Happy Home Designer,Nintendo 3DS,25.00
14.00,19.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,977,045496472313,Yo-Kai Watch,Nintendo 3DS,30.00
8.00,11.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,834,045496463106,New Super Mario Bros.,Nintendo DS,18.00
6.00,9.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,834,045496462338,Mario Kart DS,Nintendo DS,15.00
0.40,0.70,/product_images/Juegos/DS Juegos/045496462567_s.jpg,834,045496462567,Brain Training,Nintendo DS,2.00
5.00,7.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,834,045496462543,Animal Crossing: Wild World,Nintendo DS,12.00
6.00,9.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,834,045496464936,Pokemon Perla,Nintendo DS,15.00
6.00,9.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,834,045496464844,Pokemon Diamante,Nintendo DS,15.00
8.00,11.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,834,045496462031,Super Mario 64 DS,Nintendo DS,18.00
14.00,20.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,834,045496469641,Pokemon Oro HeartGold Sin Pokewalker,Nintendo DS,32.00
15.00,22.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,834,04549646,Pokemon Plata SoulSilver Sin Pokewalker,Nintendo DS,35.00
0.80,1.30,/product_images/Juegos/DS Juegos/045496462246_s.jpg,834,045496462246,NintenDogs Labrador & Friends,Nintendo DS,3.50
0.40,0.70,/product_images/Juegos/DS Juegos/045496464721_s.jpg,834,045496464721,Mas Brain Training,Nintendo DS,2.00
6.00,9.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,834,045496471118,Pokemon Edicion Blanca,Nintendo DS,15.00
6.00,9.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,834,045496471057,Pokemon Edicion Negra,Nintendo DS,15.00
