categoria_id,titulo,precio_compra,categoria_str,precio_venta,precio_intercambio,img_caratula,sku
1001,Call Of Duty: Black Ops III,17.00,PlayStation 4,38.00,24.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733
1001,Uncharted 4: El desenlace del ladrón,14.00,PlayStation 4,32.00,20.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410
1001,Grand Theft Auto V (5),20.00,PlayStation 4,45.00,28.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037
1001,For Honor (No DLC),34.00,PlayStation 4,62.00,42.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,3307215914946
1001,Call Of Duty: Infinite Warfare,13.00,PlayStation 4,30.00,18.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185
1001,FIFA 16,3.00,PlayStation 4,15.00,5.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881
1001,FIFA 17,24.00,PlayStation 4,55.00,34.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388
1001,"Division, The",8.00,PlayStation 4,18.00,11.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445
1001,Mafia III,11.00,PlayStation 4,25.00,15.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690
1001,Resident Evil 7: Biohazard,32.00,PlayStation 4,58.00,39.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574
1001,Watch Dogs 2,18.00,PlayStation 4,40.00,25.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730
1001,Battlefield 1,22.00,PlayStation 4,50.00,31.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762
1001,Star Wars: Battlefront,9.00,PlayStation 4,20.00,12.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,5030934121637
1001,Far Cry 4,8.00,PlayStation 4,18.00,11.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,3307215793633
1001,"Last of Us, The - Remastered",15.00,PlayStation 4,35.00,22.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,711719407515
977,Legend Of Zelda Ocarina Of Time 3D,9.00,Nintendo 3DS,20.00,13.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830
977,Pokemon Luna,18.00,Nintendo 3DS,38.00,24.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464
977,Pokemon Sol,18.00,Nintendo 3DS,38.00,24.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358
977,Pokemon X,13.00,Nintendo 3DS,28.00,18.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227
977,Super Mario 3D Land,13.00,Nintendo 3DS,28.00,18.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233
977,Super Smash Bros.,14.00,Nintendo 3DS,30.00,19.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,0045496526283
977,Pokemon Y,10.00,Nintendo 3DS,22.00,14.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333
977,Pokemon Rubi Omega,12.00,Nintendo 3DS,25.00,16.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313
977,Mario Kart 7,14.00,Nintendo 3DS,30.00,19.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301
977,Pokemon: Zafiro Alfa,12.00,Nintendo 3DS,25.00,16.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320
977,New Super Mario Bros. 2,14.00,Nintendo 3DS,30.00,19.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582
977,Animal Crossing: New Leaf,14.00,Nintendo 3DS,30.00,19.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848
977,Monster Hunter Generations,14.00,Nintendo 3DS,30.00,19.00,/product_images/Juegos/3DS Juegos/0045496473242_s.jpg,0045496473242
977,Animal Crossing: Happy Home Designer,12.00,Nintendo 3DS,25.00,16.00,/product_images/Juegos/3DS Juegos/045496528164_s.jpg,045496528164
977,Mario Party: Island Tour,9.00,Nintendo 3DS,20.00,13.00,/product_images/Juegos/3DS Juegos/045496524661_s.jpg,045496524661
834,New Super Mario Bros.,8.00,Nintendo DS,18.00,11.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,045496463106
834,Mario Kart DS,6.00,Nintendo DS,15.00,9.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,045496462338
834,Brain Training,0.40,Nintendo DS,2.00,0.70,/product_images/Juegos/DS Juegos/045496462567_s.jpg,045496462567
834,Animal Crossing: Wild World,5.00,Nintendo DS,12.00,7.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,045496462543
834,Pokemon Perla,6.00,Nintendo DS,15.00,9.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,045496464936
834,Pokemon Diamante,6.00,Nintendo DS,15.00,9.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,045496464844
834,Super Mario 64 DS,8.00,Nintendo DS,18.00,11.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,045496462031
834,Pokemon Oro HeartGold Sin Pokewalker,14.00,Nintendo DS,32.00,20.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,045496469641
