categoria_str,sku,precio_intercambio,precio_venta,categoria_id,titulo,img_caratula,precio_compra
PlayStation 4,5030917197185,18.00,30.00,1001,Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,13.00
PlayStation 4,5030917181733,24.00,38.00,1001,Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,17.00
PlayStation 4,5026555417037,28.00,45.00,1001,Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,20.00
PlayStation 4,0711719454410,20.00,32.00,1001,Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,14.00
PlayStation 4,711719825265,50.00,65.00,1001,Horizon: Zero Dawn,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,45.00
PlayStation 4,5030931112881,5.00,15.00,1001,FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,3.00
PlayStation 4,3307215804445,11.00,18.00,1001,"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,8.00
PlayStation 4,5030937116388,34.00,55.00,1001,FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,24.00
PlayStation 4,3307215914946,42.00,62.00,1001,For Honor (No DLC),/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,34.00
PlayStation 4,5026555421690,15.00,25.00,1001,Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,11.00
PlayStation 4,5055060900574,39.00,58.00,1001,Resident Evil 7: Biohazard,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,32.00
PlayStation 4,3307215966730,25.00,40.00,1001,Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,18.00
PlayStation 4,5030941113762,31.00,50.00,1001,Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,22.00
PlayStation 4,3307215793633,11.00,18.00,1001,Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,8.00
PlayStation 4,3307215732939,7.00,12.00,1001,Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,5.00
Nintendo 3DS,045496520830,13.00,20.00,977,Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,9.00
