categoria_id,precio_venta,precio_compra,img_caratula,titulo,categoria_str,precio_intercambio,sku
1001,65.00,45.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,Horizon: Zero Dawn,PlayStation 4,50.00,711719825265
1001,30.00,13.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,PlayStation 4,18.00,5030917197185
1001,45.00,20.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),PlayStation 4,28.00,5026555417037
1001,38.00,17.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,PlayStation 4,24.00,5030917181733
1001,32.00,14.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,PlayStation 4,20.00,0711719454410
1001,18.00,8.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The",PlayStation 4,11.00,3307215804445
1001,58.00,32.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard,PlayStation 4,39.00,5055060900574
1001,55.00,24.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,PlayStation 4,34.00,5030937116388
1001,62.00,34.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,For Honor (No DLC),PlayStation 4,42.00,3307215914946
1001,15.00,3.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,PlayStation 4,5.00,5030931112881
1001,25.00,11.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,PlayStation 4,15.00,5026555421690
1001,40.00,18.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,PlayStation 4,25.00,3307215966730
1001,50.00,22.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,PlayStation 4,31.00,5030941113762
1001,12.00,5.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,Watch Dogs,PlayStation 4,7.00,3307215732939
1001,38.00,17.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,PlayStation 4,24.00,5021290072985
977,20.00,9.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,Nintendo 3DS,13.00,045496520830
977,38.00,18.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol,Nintendo 3DS,24.00,0045496473358
977,25.00,12.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega,Nintendo 3DS,16.00,045496526313
