precio_venta,titulo,precio_compra,categoria_id,img_caratula,precio_intercambio,sku,categoria_str
65.00,Horizon: Zero Dawn,45.00,1001,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,50.00,711719825265,PlayStation 4
30.00,Call Of Duty: Infinite Warfare,13.00,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,18.00,5030917197185,PlayStation 4
45.00,Grand Theft Auto V (5),20.00,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,28.00,5026555417037,PlayStation 4
38.00,Call Of Duty: Black Ops III,17.00,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,24.00,5030917181733,PlayStation 4
32.00,Uncharted 4: El desenlace del ladrón,14.00,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,20.00,0711719454410,PlayStation 4
18.00,"Division, The",8.00,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,11.00,3307215804445,PlayStation 4
55.00,FIFA 17,24.00,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,34.00,5030937116388,PlayStation 4
25.00,Mafia III,11.00,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,15.00,5026555421690,PlayStation 4
58.00,Resident Evil 7: Biohazard,32.00,1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,39.00,5055060900574,PlayStation 4
40.00,Watch Dogs 2,18.00,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,25.00,3307215966730,PlayStation 4
50.00,Battlefield 1,22.00,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,31.00,5030941113762,PlayStation 4
62.00,For Honor (No DLC),34.00,1001,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,42.00,3307215914946,PlayStation 4
15.00,FIFA 16,3.00,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5.00,5030931112881,PlayStation 4
12.00,Watch Dogs,5.00,1001,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,7.00,3307215732939,PlayStation 4
38.00,Final Fantasy XV,17.00,1001,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,24.00,5021290072985,PlayStation 4
20.00,Legend Of Zelda Ocarina Of Time 3D,9.00,977,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,13.00,045496520830,Nintendo 3DS
38.00,Pokemon Sol,18.00,977,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,24.00,0045496473358,Nintendo 3DS
25.00,Pokemon Rubi Omega,12.00,977,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,16.00,045496526313,Nintendo 3DS
25.00,Pokemon: Zafiro Alfa,12.00,977,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,16.00,045496526320,Nintendo 3DS
