precio_venta,categoria_id,img_caratula,titulo,precio_compra,categoria_str,sku,precio_intercambio
65.00,1001,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,Horizon: Zero Dawn,45.00,PlayStation 4,711719825265,50.00
70.00,1001,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,Ghost Recon: Wildlands (Sin DLC),49.00,PlayStation 4,3307215913024,54.00
30.00,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,13.00,PlayStation 4,5030917197185,18.00
38.00,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,17.00,PlayStation 4,5030917181733,24.00
32.00,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,14.00,PlayStation 4,0711719454410,20.00
45.00,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),20.00,PlayStation 4,5026555417037,28.00
18.00,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The",8.00,PlayStation 4,3307215804445,11.00
25.00,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,11.00,PlayStation 4,5026555421690,15.00
55.00,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,24.00,PlayStation 4,5030937116388,34.00
15.00,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,3.00,PlayStation 4,5030931112881,5.00
50.00,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,22.00,PlayStation 4,5030941113762,31.00
58.00,1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard,32.00,PlayStation 4,5055060900574,39.00
62.00,1001,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,For Honor (No DLC),34.00,PlayStation 4,3307215914946,42.00
22.00,1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,9.00,PlayStation 4,3307215893227,13.00
40.00,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,18.00,PlayStation 4,3307215966730,25.00
38.00,977,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol,18.00,Nintendo 3DS,0045496473358,24.00
20.00,977,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,9.00,Nintendo 3DS,045496520830,13.00
22.00,977,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y,10.00,Nintendo 3DS,045496524333,14.00
25.00,977,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega,12.00,Nintendo 3DS,045496526313,16.00
25.00,977,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,12.00,Nintendo 3DS,045496526320,16.00
38.00,977,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna,18.00,Nintendo 3DS,045496473464,24.00
28.00,977,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land,13.00,Nintendo 3DS,045496521233,18.00
30.00,977,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7,14.00,Nintendo 3DS,045496521301,19.00
30.00,977,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2,14.00,Nintendo 3DS,045496522582,19.00
28.00,977,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X,13.00,Nintendo 3DS,045496524227,18.00
30.00,977,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Animal Crossing: New Leaf,14.00,Nintendo 3DS,045496523848,19.00
30.00,977,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.,14.00,Nintendo 3DS,0045496526283,19.00
18.00,977,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,Legend of Zelda: A Link Between Worlds,8.00,Nintendo 3DS,045496524531,11.00
30.00,977,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Yo-Kai Watch,14.00,Nintendo 3DS,045496472313,19.00
20.00,977,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,Monster Hunter 4 Ultimate,9.00,Nintendo 3DS,045496527075,13.00
20.00,834,/product_images/Juegos/DS Juegos/045496463106_s.jpg,New Super Mario Bros.,9.00,Nintendo DS,045496463106,12.00
15.00,834,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Mario Kart DS,6.00,Nintendo DS,045496462338,9.00
15.00,834,/product_images/Juegos/DS Juegos/045496462543_s.jpg,Animal Crossing: Wild World,6.00,Nintendo DS,045496462543,9.00
15.00,834,/product_images/Juegos/DS Juegos/045496471118_s.jpg,Pokemon Edicion Blanca,6.00,Nintendo DS,045496471118,9.00
2.00,834,/product_images/Juegos/DS Juegos/045496462567_s.jpg,Brain Training,0.40,Nintendo DS,045496462567,0.70
22.00,834,/product_images/Juegos/DS Juegos/045496462857_s.jpg,Pokemon Edicion Negra 2,9.00,Nintendo DS,045496462857,13.00
12.00,834,/product_images/Juegos/DS Juegos/045496464936_s.jpg,Pokemon Perla,5.00,Nintendo DS,045496464936,7.00
15.00,834,/product_images/Juegos/DS Juegos/045496464844_s.jpg,Pokemon Diamante,6.00,Nintendo DS,045496464844,9.00
10.00,834,/product_images/Juegos/DS Juegos/045496463595_s.jpg,Pokemon Mundo Misterioso Equipo Azul,4.00,Nintendo DS,045496463595,6.00
