titulo,img_caratula,sku,precio_intercambio,categoria_id,precio_compra,categoria_str,precio_venta
Horizon: Zero Dawn,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,711719825265,50.00,1001,45.00,PlayStation 4,65.00
Ghost Recon: Wildlands (Sin DLC),/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,3307215913024,54.00,1001,49.00,PlayStation 4,70.00
Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,18.00,1001,13.00,PlayStation 4,30.00
Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,20.00,1001,14.00,PlayStation 4,32.00
Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,24.00,1001,17.00,PlayStation 4,38.00
Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,28.00,1001,20.00,PlayStation 4,45.00
FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,34.00,1001,24.00,PlayStation 4,55.00
Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,15.00,1001,11.00,PlayStation 4,25.00
FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,5.00,1001,3.00,PlayStation 4,15.00
"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,11.00,1001,8.00,PlayStation 4,18.00
Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,31.00,1001,22.00,PlayStation 4,50.00
For Honor (No DLC),/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,3307215914946,42.00,1001,34.00,PlayStation 4,62.00
Resident Evil 7: Biohazard,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,39.00,1001,32.00,PlayStation 4,58.00
Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,3307215893227,13.00,1001,9.00,PlayStation 4,22.00
Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,25.00,1001,18.00,PlayStation 4,40.00
Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,24.00,977,18.00,Nintendo 3DS,38.00
Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,16.00,977,12.00,Nintendo 3DS,25.00
Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,13.00,977,9.00,Nintendo 3DS,20.00
Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,14.00,977,10.00,Nintendo 3DS,22.00
Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,24.00,977,18.00,Nintendo 3DS,38.00
Yo-Kai Watch,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,045496472313,19.00,977,14.00,Nintendo 3DS,30.00
Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,16.00,977,12.00,Nintendo 3DS,25.00
Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,045496521233,18.00,977,13.00,Nintendo 3DS,28.00
Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,045496521301,19.00,977,14.00,Nintendo 3DS,30.00
New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,045496522582,19.00,977,14.00,Nintendo 3DS,30.00
Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,18.00,977,13.00,Nintendo 3DS,28.00
Legend of Zelda: A Link Between Worlds,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,045496524531,11.00,977,8.00,Nintendo 3DS,18.00
Animal Crossing: New Leaf,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848,19.00,977,14.00,Nintendo 3DS,30.00
Super Smash Bros.,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,0045496526283,19.00,977,14.00,Nintendo 3DS,30.00
Super Mario Maker,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,045496474287,27.00,977,22.00,Nintendo 3DS,40.00
New Super Mario Bros.,/product_images/Juegos/DS Juegos/045496463106_s.jpg,045496463106,12.00,834,9.00,Nintendo DS,20.00
Mario Kart DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,045496462338,9.00,834,6.00,Nintendo DS,15.00
Pokemon Diamante,/product_images/Juegos/DS Juegos/045496464844_s.jpg,045496464844,9.00,834,6.00,Nintendo DS,15.00
Animal Crossing: Wild World,/product_images/Juegos/DS Juegos/045496462543_s.jpg,045496462543,9.00,834,6.00,Nintendo DS,15.00
