categoria_str,sku,titulo,img_caratula,precio_intercambio,categoria_id,precio_compra,precio_venta
PlayStation 4,711719825265,Horizon: Zero Dawn,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,50.00,1001,45.00,65.00
PlayStation 4,3307215913024,Ghost Recon: Wildlands (Sin DLC),/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,54.00,1001,49.00,70.00
PlayStation 4,5026555417037,Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,28.00,1001,20.00,45.00
PlayStation 4,5030917197185,Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,18.00,1001,13.00,30.00
PlayStation 4,0711719454410,Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,20.00,1001,14.00,32.00
PlayStation 4,5030917181733,Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,24.00,1001,17.00,38.00
PlayStation 4,5030931112881,FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5.00,1001,3.00,15.00
PlayStation 4,5030937116388,FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,34.00,1001,24.00,55.00
PlayStation 4,5026555421690,Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,15.00,1001,11.00,25.00
PlayStation 4,3307215914946,For Honor (No DLC),/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,42.00,1001,34.00,62.00
PlayStation 4,5030941113762,Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,31.00,1001,22.00,50.00
PlayStation 4,3307215804445,"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,11.00,1001,8.00,18.00
PlayStation 4,5055060900574,Resident Evil 7: Biohazard,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,39.00,1001,32.00,58.00
PlayStation 4,3307215966730,Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,25.00,1001,18.00,40.00
PlayStation 4,3307215938782,Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,17.00,1001,12.00,28.00
Nintendo 3DS,0045496473358,Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,24.00,977,18.00,38.00
Nintendo 3DS,045496524333,Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,14.00,977,10.00,22.00
Nintendo 3DS,045496520830,Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,13.00,977,9.00,20.00
Nintendo 3DS,045496526313,Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,16.00,977,12.00,25.00
Nintendo 3DS,045496473464,Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,24.00,977,18.00,38.00
Nintendo 3DS,045496472313,Yo-Kai Watch,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,19.00,977,14.00,30.00
Nintendo 3DS,045496521301,Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,19.00,977,14.00,30.00
Nintendo 3DS,045496521233,Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,18.00,977,13.00,28.00
Nintendo 3DS,045496522582,New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,19.00,977,14.00,30.00
Nintendo 3DS,045496523848,Animal Crossing: New Leaf,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,19.00,977,14.00,30.00
Nintendo 3DS,045496526320,Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,16.00,977,12.00,25.00
Nintendo 3DS,0045496526283,Super Smash Bros.,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,19.00,977,14.00,30.00
Nintendo 3DS,045496524531,Legend of Zelda: A Link Between Worlds,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,11.00,977,8.00,18.00
Nintendo 3DS,045496524227,Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,18.00,977,13.00,28.00
Nintendo 3DS,045496525507,Tomodachi Life,/product_images/Juegos/3DS Juegos/045496525507_s.jpg,19.00,977,14.00,30.00
Nintendo DS,045496463106,New Super Mario Bros.,/product_images/Juegos/DS Juegos/045496463106_s.jpg,12.00,834,9.00,20.00
Nintendo DS,045496462338,Mario Kart DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,9.00,834,6.00,15.00
Nintendo DS,045496464844,Pokemon Diamante,/product_images/Juegos/DS Juegos/045496464844_s.jpg,9.00,834,6.00,15.00
Nintendo DS,045496462543,Animal Crossing: Wild World,/product_images/Juegos/DS Juegos/045496462543_s.jpg,9.00,834,6.00,15.00
Nintendo DS,045496471118,Pokemon Edicion Blanca,/product_images/Juegos/DS Juegos/045496471118_s.jpg,9.00,834,6.00,15.00
Nintendo DS,045496465537,Pokemon Edicion Blanca 2,/product_images/Juegos/DS Juegos/045496465537_s.jpg,13.00,834,9.00,22.00
Nintendo DS,045496463595,Pokemon Mundo Misterioso Equipo Azul,/product_images/Juegos/DS Juegos/045496463595_s.jpg,6.00,834,4.00,10.00
Nintendo DS,045496462567,Brain Training,/product_images/Juegos/DS Juegos/045496462567_s.jpg,0.70,834,0.40,2.00
Nintendo DS,045496464936,Pokemon Perla,/product_images/Juegos/DS Juegos/045496464936_s.jpg,7.00,834,5.00,12.00
Nintendo DS,04549646,Pokemon Plata SoulSilver Sin Pokewalker,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,20.00,834,14.00,32.00
Nintendo DS,045496462031,Super Mario 64 DS,/product_images/Juegos/DS Juegos/045496462031_s.jpg,12.00,834,9.00,20.00
Nintendo DS,045496462857,Pokemon Edicion Negra 2,/product_images/Juegos/DS Juegos/045496462857_s.jpg,13.00,834,9.00,22.00
Nintendo DS,045496464103,Pokemon Ranger,/product_images/Juegos/DS Juegos/045496464103_s.jpg,5.00,834,3.00,8.00
Nintendo DS,045496471057,Pokemon Edicion Negra,/product_images/Juegos/DS Juegos/045496471057_s.jpg,11.00,834,8.00,18.00
Nintendo DS,045496465377,Legend of Zelda: Phantom Hourglass,/product_images/Juegos/DS Juegos/045496465377_s.jpg,11.00,834,8.00,18.00
PC,5060193302294,Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,0.30,830,0.10,1.00
PC,8414185051528,Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,3.00,830,2.00,10.00
PC,8436010150671,Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,0.70,830,0.30,2.50
PC,8436010150572,Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,0.60,830,0.30,2.00
PC,8436010150909,Pro Race Driver,/product_images/Juegos/PC Juegos/8436010150909_s.jpg,0.20,830,0.10,0.75
PC,8436016710770,"Whispered World, The - Edición Especial",/product_images/Juegos/PC Juegos/8436016710770_s.jpg,0.90,830,0.50,2.50
PC,8436010150541,House Of The Dead 2,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,0.10,830,0.01,0.50
PC,8436010150275,Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,0.40,830,0.20,1.50
PC,4260089416710,Crookz: The Big Heist (P),/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.01,830,0.01,0.15
PC,3307210220134,Splinter Cell Chaos Theory,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.10,830,0.01,0.50
PC,5030917031922,Call of Duty 2,/product_images/Juegos/PC Juegos/5030917031922_s.jpg,1.20,830,0.60,4.00
PC,3307210181862,Splinter Cell,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.10,830,0.01,0.50
PC,3307210263575,Assassin's Creed,/product_images/Juegos/PC Juegos/3307210263575_s.jpg,1.80,830,1.00,5.00
PC,3307210148971,Age of Empires (Gold Edition),/product_images/Juegos/PC Juegos/3307210148971_s.jpg,1.20,830,0.60,4.00
PlayStation 3,5026555410267,Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,9.00,821,6.00,15.00
PlayStation 3,5030917111761,Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,5.00,821,3.00,15.00
PlayStation 3,5030917096808,Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,3.00,821,2.00,6.00
PlayStation 3,5026555400251,Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,821,2.00,6.00
PlayStation 3,5030917085802,Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,5.00,821,3.00,8.00
PlayStation 3,5030937112373,FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,5.00,821,3.00,8.00
PlayStation 3,5030917126116,Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,3.00,821,2.00,6.00
PlayStation 3,5030933111103,FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,821,0.30,2.00
PlayStation 3,711719190059,Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,3.00,821,2.00,6.00
PlayStation 3,5030917147906,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,9.00,821,6.00,15.00
PlayStation 3,711719123996,Uncharted 3: Traicion de Drake,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,6.00,821,4.00,10.00
PlayStation 3,5030946112869,FIFA 16,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,13.00,821,9.00,22.00
PlayStation 3,5030934109680,FIFA 13,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.01,821,0.01,0.25
PlayStation 3,5030917070990,Call of Duty: Modern Warfare 2,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,3.00,821,2.00,6.00
PlayStation 3,3307215633243,Far Cry 3,/product_images/Juegos/PS3 Juegos/3307215633243_s.jpg,5.00,821,3.00,8.00
PlayStation Vita,711719438519,Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,9.00,990,7.00,15.00
PlayStation Vita,5030917114083,Call of Duty Black Ops- Declassified,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,14.00,990,10.00,22.00
PlayStation Vita,5030934109192,Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,9.00,990,7.00,15.00
PlayStation Vita,3307215652312,Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,9.00,990,7.00,15.00
PlayStation Vita,5035225113223,FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,14.00,990,10.00,22.00
PlayStation Vita,711719287667,Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,2.00,990,1.40,6.00
PlayStation Vita,711719200628,Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,13.00,990,9.00,20.00
PlayStation Vita,5030934109901,FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,2.00,990,1.40,6.00
PlayStation Vita,4012927066065,Metal Gear Solid Hd Colección,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,13.00,990,9.00,20.00
PlayStation Vita,5030939111404,FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,6.00,990,4.00,10.00
PlayStation Vita,711719241638,Gravity Rush,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,11.00,990,8.00,18.00
PlayStation Vita,711719200147,Resistance: Burning Skies,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,9.00,990,7.00,15.00
PlayStation Vita,5021290057791,Final Fantasy X HD Only,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,13.00,990,9.00,20.00
PlayStation Vita,711719236467,Jak And Daxter Trilogy,/product_images/Juegos/PS Vita Juegos/711719236467_s.jpg,13.00,990,9.00,20.00
PlayStation Vita,711719251163,Killzone Mercenary,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,13.00,990,9.00,20.00
PSP,5026555280143,Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,1.40,862,0.80,4.00
PSP,5026555280785,Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,1.40,862,0.80,4.00
PSP,711719169772,Invizimals La Otra Dimension (Solo Juego,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.10,862,0.01,0.50
PSP,3307211667679,Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,1.40,862,0.80,4.00
PSP,711719908128,God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.90,862,0.40,3.00
PSP,711719646266,Daxter,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.90,862,0.40,3.00
PSP,711719168171,God of War: Ghost of Sparta,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,1.60,862,0.90,4.50
PSP,711719660071,Tekken Dark Resurrection,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.90,862,0.40,3.00
PSP,8414646244995,Invizimals: Las tribus perdidas,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.10,862,0.01,0.50
PSP,711719151159,Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.90,862,0.40,3.00
PSP,4012927065174,Pro Evolution Soccer 2012,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,0.40,862,0.20,1.50
PSP,711719651888,Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.90,862,0.40,3.00
PSP,5030917089039,Spiderman 3,/product_images/Juegos/PSP Juegos/5030917089039_s.jpg,0.90,862,0.40,3.00
PSP,5021290041585,Kingdom Hearts: Birth by Sleep,/product_images/Juegos/PSP Juegos/5021290041585_s.jpg,3.00,862,2.00,10.00
PSP,5021290046405,Lord Of Arcana: Slayer Edition,/product_images/Juegos/PSP Juegos/5021290046405_s.jpg,0.90,862,0.40,3.00
Wii,045496368098,New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,11.00,831,8.00,18.00
Wii,045496365202,Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,11.00,831,8.00,18.00
Wii,045496367473,Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,6.00,831,4.00,10.00
Wii,045496362102,Wii Sports (Solo Juego),/product_images/Juegos/Wii Juegos/045496362102_s.jpg,3.00,831,2.00,5.00
Wii,045496362201,Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,2.00,831,1.80,4.00
Wii,045496365899,Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,9.00,831,6.00,15.00
Wii,045496363932,Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,9.00,831,6.00,15.00
Wii,045496362393,Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,9.00,831,6.00,15.00
Wii,045496368869,Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,12.00,831,9.00,20.00
Wii,045496400736,Legend of Zelda: Skyward Sword,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,13.00,831,9.00,22.00
