categoria_str,precio_intercambio,precio_venta,img_caratula,precio_compra,titulo,categoria_id,sku
PlayStation 4,54.00,70.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,49.00,Ghost Recon: Wildlands (Sin DLC),1001,3307215913024
PlayStation 4,50.00,65.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,45.00,Horizon: Zero Dawn,1001,711719825265
PlayStation 4,28.00,45.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,20.00,Grand Theft Auto V (5),1001,5026555417037
PlayStation 4,24.00,38.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,17.00,Call Of Duty: Black Ops III,1001,5030917181733
PlayStation 4,18.00,30.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,13.00,Call Of Duty: Infinite Warfare,1001,5030917197185
PlayStation 4,20.00,32.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,14.00,Uncharted 4: El desenlace del ladrón,1001,0711719454410
PlayStation 4,5.00,15.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,3.00,FIFA 16,1001,5030931112881
PlayStation 4,34.00,55.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,24.00,FIFA 17,1001,5030937116388
PlayStation 4,15.00,25.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,11.00,Mafia III,1001,5026555421690
PlayStation 4,42.00,62.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,34.00,For Honor (No DLC),1001,3307215914946
PlayStation 4,31.00,50.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,22.00,Battlefield 1,1001,5030941113762
PlayStation 4,11.00,18.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,8.00,"Division, The",1001,3307215804445
PlayStation 4,25.00,40.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,18.00,Watch Dogs 2,1001,3307215966730
PlayStation 4,39.00,58.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,32.00,Resident Evil 7: Biohazard,1001,5055060900574
PlayStation 4,13.00,22.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,9.00,Assassin's Creed: Syndicate,1001,3307215893227
Nintendo 3DS,24.00,38.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,18.00,Pokemon Sol,977,0045496473358
Nintendo 3DS,14.00,22.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,10.00,Pokemon Y,977,045496524333
Nintendo 3DS,13.00,20.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,9.00,Legend Of Zelda Ocarina Of Time 3D,977,045496520830
Nintendo 3DS,24.00,38.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,18.00,Pokemon Luna,977,045496473464
Nintendo 3DS,16.00,25.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,12.00,Pokemon Rubi Omega,977,045496526313
Nintendo 3DS,19.00,30.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,14.00,Yo-Kai Watch,977,045496472313
Nintendo 3DS,19.00,30.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,14.00,Mario Kart 7,977,045496521301
