titulo,sku,categoria_id,precio_venta,precio_compra,precio_intercambio,img_caratula,categoria_str
Ghost Recon: Wildlands (Sin DLC),3307215913024,1001,68.00,38.00,46.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,PlayStation 4
Horizon: Zero Dawn,711719825265,1001,65.00,45.00,50.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,PlayStation 4
Grand Theft Auto V (5),5026555417037,1001,45.00,20.00,28.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,PlayStation 4
Call Of Duty: Black Ops III,5030917181733,1001,35.00,15.00,22.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,PlayStation 4
Call Of Duty: Infinite Warfare,5030917197185,1001,32.00,14.00,20.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,PlayStation 4
Uncharted 4: El desenlace del ladrón,0711719454410,1001,32.00,14.00,20.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,PlayStation 4
FIFA 17,5030937116388,1001,52.00,23.00,32.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,PlayStation 4
FIFA 16,5030931112881,1001,12.00,2.00,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,PlayStation 4
Mafia III,5026555421690,1001,25.00,11.00,15.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,PlayStation 4
Battlefield 1,5030941113762,1001,45.00,20.00,28.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,PlayStation 4
Rainbow Six: Siege,3307215889121,1001,40.00,18.00,25.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,PlayStation 4
For Honor (No DLC),3307215914946,1001,58.00,26.00,36.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,PlayStation 4
"Division, The",3307215804445,1001,18.00,4.00,6.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,PlayStation 4
Watch Dogs 2,3307215966730,1001,38.00,17.00,24.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,PlayStation 4
Resident Evil 7: Biohazard,5055060900574,1001,55.00,24.00,34.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,PlayStation 4
Pokemon Sol,0045496473358,977,38.00,18.00,24.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Nintendo 3DS
Legend Of Zelda Ocarina Of Time 3D,045496520830,977,22.00,10.00,14.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Nintendo 3DS
Pokemon Rubi Omega,045496526313,977,28.00,13.00,18.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Nintendo 3DS
Yo-Kai Watch,045496472313,977,32.00,15.00,20.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Nintendo 3DS
Pokemon Luna,045496473464,977,35.00,16.00,22.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Nintendo 3DS
Pokemon Y,045496524333,977,25.00,12.00,16.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Nintendo 3DS
Mario Kart 7,045496521301,977,30.00,14.00,19.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Nintendo 3DS
Animal Crossing: New Leaf,045496523848,977,32.00,15.00,20.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Nintendo 3DS
Super Mario 3D Land,045496521233,977,30.00,14.00,19.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Nintendo 3DS
Pokemon X,045496524227,977,22.00,10.00,14.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Nintendo 3DS
Legend of Zelda: A Link Between Worlds,045496524531,977,20.00,9.00,13.00,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,Nintendo 3DS
Super Smash Bros.,0045496526283,977,30.00,14.00,19.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Nintendo 3DS
Pokemon: Zafiro Alfa,045496526320,977,22.00,10.00,14.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Nintendo 3DS
Tomodachi Life,045496525507,977,28.00,13.00,18.00,/product_images/Juegos/3DS Juegos/045496525507_s.jpg,Nintendo 3DS
Pokemon Mundo Megamisterioso,045496529703,977,28.00,13.00,18.00,/product_images/Juegos/3DS Juegos/045496529703_s.jpg,Nintendo 3DS
New Super Mario Bros.,045496463106,834,20.00,9.00,12.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,Nintendo DS
Mario Kart DS,045496462338,834,15.00,6.00,9.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Nintendo DS
