titulo,img_caratula,precio_compra,precio_intercambio,categoria_id,categoria_str,precio_venta,sku
Horizon: Zero Dawn,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,40.00,47.00,1001,PlayStation 4,65.00,711719825265
Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,20.00,28.00,1001,PlayStation 4,45.00,5026555417037
Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,15.00,22.00,1001,PlayStation 4,35.00,5030917181733
Ghost Recon: Wildlands (Sin DLC),/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,38.00,46.00,1001,PlayStation 4,68.00,3307215913024
Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,14.00,20.00,1001,PlayStation 4,32.00,5030917197185
Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,14.00,20.00,1001,PlayStation 4,32.00,0711719454410
FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,23.00,32.00,1001,PlayStation 4,52.00,5030937116388
FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,2.00,4.00,1001,PlayStation 4,12.00,5030931112881
Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,18.00,25.00,1001,PlayStation 4,40.00,3307215889121
Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,11.00,15.00,1001,PlayStation 4,25.00,5026555421690
Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,20.00,28.00,1001,PlayStation 4,45.00,5030941113762
Resident Evil 7: Biohazard,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,24.00,34.00,1001,PlayStation 4,55.00,5055060900574
For Honor (No DLC),/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,26.00,36.00,1001,PlayStation 4,58.00,3307215914946
Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,17.00,24.00,1001,PlayStation 4,38.00,3307215966730
