sku,precio_compra,categoria_str,categoria_id,precio_venta,img_caratula,titulo,precio_intercambio
711719825265,40.00,PlayStation 4,1001,65.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,Horizon: Zero Dawn,47.00
5026555417037,20.00,PlayStation 4,1001,45.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),28.00
5030917181733,15.00,PlayStation 4,1001,35.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,22.00
3307215913024,38.00,PlayStation 4,1001,68.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,Ghost Recon: Wildlands (Sin DLC),46.00
5030917197185,14.00,PlayStation 4,1001,32.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,20.00
0711719454410,14.00,PlayStation 4,1001,32.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,20.00
5030937116388,23.00,PlayStation 4,1001,52.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,32.00
5030931112881,2.00,PlayStation 4,1001,12.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,4.00
3307215889121,18.00,PlayStation 4,1001,40.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,Rainbow Six: Siege,25.00
5026555421690,11.00,PlayStation 4,1001,25.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,15.00
5055060900574,24.00,PlayStation 4,1001,55.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard,34.00
5030941113762,20.00,PlayStation 4,1001,45.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,28.00
3307215914946,26.00,PlayStation 4,1001,58.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,For Honor (No DLC),36.00
3307215966730,17.00,PlayStation 4,1001,38.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,24.00
3307215893227,9.00,PlayStation 4,1001,20.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,12.00
0045496473358,18.00,Nintendo 3DS,977,38.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol,24.00
045496472313,15.00,Nintendo 3DS,977,32.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Yo-Kai Watch,20.00
