sku,precio_compra,titulo,categoria_id,precio_intercambio,categoria_str,precio_venta,img_caratula
711719825265,40.00,Horizon: Zero Dawn,1001,47.00,PlayStation 4,65.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg
5026555417037,20.00,Grand Theft Auto V (5),1001,28.00,PlayStation 4,45.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg
5030917181733,15.00,Call Of Duty: Black Ops III,1001,22.00,PlayStation 4,35.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg
0711719454410,14.00,Uncharted 4: El desenlace del ladrón,1001,20.00,PlayStation 4,32.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg
3307215913024,38.00,Ghost Recon: Wildlands (Sin DLC),1001,46.00,PlayStation 4,68.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg
5030917197185,14.00,Call Of Duty: Infinite Warfare,1001,20.00,PlayStation 4,32.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg
5030937116388,23.00,FIFA 17,1001,32.00,PlayStation 4,52.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg
5030931112881,2.00,FIFA 16,1001,4.00,PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg
5030941113762,20.00,Battlefield 1,1001,28.00,PlayStation 4,45.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg
3307215893227,9.00,Assassin's Creed: Syndicate,1001,12.00,PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg
3307215966730,17.00,Watch Dogs 2,1001,24.00,PlayStation 4,38.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg
3307215889121,18.00,Rainbow Six: Siege,1001,25.00,PlayStation 4,40.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg
5026555421690,11.00,Mafia III,1001,15.00,PlayStation 4,25.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg
3307215804445,4.00,"Division, The",1001,6.00,PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg
5055060900574,24.00,Resident Evil 7: Biohazard,1001,34.00,PlayStation 4,55.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg
0045496473358,18.00,Pokemon Sol,977,24.00,Nintendo 3DS,38.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg
045496473464,16.00,Pokemon Luna,977,22.00,Nintendo 3DS,35.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg
045496526320,10.00,Pokemon: Zafiro Alfa,977,14.00,Nintendo 3DS,22.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg
045496520830,10.00,Legend Of Zelda Ocarina Of Time 3D,977,14.00,Nintendo 3DS,22.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg
045496524227,10.00,Pokemon X,977,14.00,Nintendo 3DS,22.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg
045496524333,12.00,Pokemon Y,977,16.00,Nintendo 3DS,25.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg
045496521301,14.00,Mario Kart 7,977,19.00,Nintendo 3DS,30.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg
045496526313,13.00,Pokemon Rubi Omega,977,18.00,Nintendo 3DS,28.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg
045496524531,9.00,Legend of Zelda: A Link Between Worlds,977,13.00,Nintendo 3DS,20.00,/product_images/Juegos/3DS Juegos/045496524531_s.jpg
045496523848,15.00,Animal Crossing: New Leaf,977,20.00,Nintendo 3DS,32.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg
045496521233,14.00,Super Mario 3D Land,977,19.00,Nintendo 3DS,30.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg
0045496526283,14.00,Super Smash Bros.,977,19.00,Nintendo 3DS,30.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg
045496522582,14.00,New Super Mario Bros. 2,977,19.00,Nintendo 3DS,30.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg
045496472313,15.00,Yo-Kai Watch,977,20.00,Nintendo 3DS,32.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg
045496474287,22.00,Super Mario Maker,977,27.00,Nintendo 3DS,40.00,/product_images/Juegos/3DS Juegos/045496474287_s.jpg
045496463106,9.00,New Super Mario Bros.,834,12.00,Nintendo DS,20.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg
045496462338,6.00,Mario Kart DS,834,9.00,Nintendo DS,15.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg
045496462031,9.00,Super Mario 64 DS,834,12.00,Nintendo DS,20.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg
045496462543,6.00,Animal Crossing: Wild World,834,9.00,Nintendo DS,15.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg
045496463595,4.00,Pokemon Mundo Misterioso Equipo Azul,834,6.00,Nintendo DS,10.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg
045496462567,0.40,Brain Training,834,0.70,Nintendo DS,2.00,/product_images/Juegos/DS Juegos/045496462567_s.jpg
045496464844,6.00,Pokemon Diamante,834,9.00,Nintendo DS,15.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg
04549646,14.00,Pokemon Plata SoulSilver Sin Pokewalker,834,20.00,Nintendo DS,32.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg
045496471118,6.00,Pokemon Edicion Blanca,834,9.00,Nintendo DS,15.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg
045496464936,5.00,Pokemon Perla,834,7.00,Nintendo DS,12.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg
045496465896,5.00,Mario Party DS,834,7.00,Nintendo DS,12.00,/product_images/Juegos/DS Juegos/045496465896_s.jpg
045496462246,0.80,NintenDogs Labrador & Friends,834,1.30,Nintendo DS,3.50,/product_images/Juegos/DS Juegos/045496462246_s.jpg
045496469641,13.00,Pokemon Oro HeartGold Sin Pokewalker,834,18.00,Nintendo DS,30.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg
045496470647,1.20,Inazuma Eleven,834,1.90,Nintendo DS,5.00,/product_images/Juegos/DS Juegos/045496470647_s.jpg
045496464103,3.00,Pokemon Ranger,834,5.00,Nintendo DS,8.00,/product_images/Juegos/DS Juegos/045496464103_s.jpg
8436010150671,0.30,Imperium III,830,0.70,PC,2.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg
3307210181862,0.01,Splinter Cell,830,0.10,PC,0.50,/product_images/Juegos/PC Juegos/3307210181862_s.jpg
8414185051528,2.00,Los Sims 2 (SN),830,3.00,PC,10.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg
3307210220134,0.01,Splinter Cell Chaos Theory,830,0.10,PC,0.50,/product_images/Juegos/PC Juegos/3307210220134_s.jpg
8436016710770,0.50,"Whispered World, The - Edición Especial",830,0.90,PC,2.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg
5030917181603,15.00,Call Of Duty: Black Ops III (P),830,22.00,PC,35.00,/product_images/Juegos/PC Juegos/5030917181603_s.jpg
8436016710787,0.30,Blackguards,830,0.60,PC,2.00,/product_images/Juegos/PC Juegos/8436016710787_s.jpg
8414606866977,0.30,Stasis,830,0.60,PC,2.00,/product_images/Juegos/PC Juegos/8414606866977_s.jpg
5060193302294,0.10,Warhammer 40000 - Armageddon (SN),830,0.30,PC,1.00,/product_images/Juegos/PC Juegos/5060193302294_s.jpg
8436010150275,0.20,Imperium,830,0.40,PC,1.50,/product_images/Juegos/PC Juegos/8436010150275_s.jpg
8436010150572,0.30,Imperium II,830,0.60,PC,2.00,/product_images/Juegos/PC Juegos/8436010150572_s.jpg
3307211609143,0.01,Prince of Persia (2008),830,0.10,PC,0.50,/product_images/Juegos/PC Juegos/3307211609143_s.jpg
