img_caratula,sku,categoria_id,precio_intercambio,precio_compra,precio_venta,categoria_str,titulo
/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,711719825265,1001,44.00,36.00,65.00,PlayStation 4,Horizon: Zero Dawn
/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,5026555417037,1001,28.00,20.00,45.00,PlayStation 4,Grand Theft Auto V (5)
/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,5030917181733,1001,22.00,15.00,35.00,PlayStation 4,Call Of Duty: Black Ops III
/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,0711719454410,1001,17.00,12.00,28.00,PlayStation 4,Uncharted 4: El desenlace del ladrón
/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,5030937116388,1001,31.00,22.00,50.00,PlayStation 4,FIFA 17
/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,5030917197185,1001,17.00,12.00,28.00,PlayStation 4,Call Of Duty: Infinite Warfare
/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,5030931112881,1001,4.00,2.00,12.00,PlayStation 4,FIFA 16
/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,3307215913024,1001,34.00,24.00,55.00,PlayStation 4,Ghost Recon: Wildlands (Sin DLC)
/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,5030941113762,1001,25.00,18.00,40.00,PlayStation 4,Battlefield 1
/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,3307215966730,1001,22.00,15.00,35.00,PlayStation 4,Watch Dogs 2
/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,5026555421690,1001,13.00,9.00,22.00,PlayStation 4,Mafia III
/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,3307215893227,1001,12.00,9.00,20.00,PlayStation 4,Assassin's Creed: Syndicate
/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,3307215889121,1001,22.00,15.00,35.00,PlayStation 4,Rainbow Six: Siege
/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,5055060900574,1001,28.00,20.00,45.00,PlayStation 4,Resident Evil 7: Biohazard
/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,3307215804445,1001,6.00,4.00,18.00,PlayStation 4,"Division, The"
/product_images/Juegos/3DS Juegos/045496526320_s.jpg,045496526320,977,14.00,10.00,22.00,Nintendo 3DS,Pokemon: Zafiro Alfa
/product_images/Juegos/3DS Juegos/045496473464_s.jpg,045496473464,977,22.00,16.00,35.00,Nintendo 3DS,Pokemon Luna
/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,0045496473358,977,24.00,18.00,38.00,Nintendo 3DS,Pokemon Sol
/product_images/Juegos/3DS Juegos/045496524227_s.jpg,045496524227,977,14.00,10.00,22.00,Nintendo 3DS,Pokemon X
/product_images/Juegos/3DS Juegos/045496520830_s.jpg,045496520830,977,14.00,10.00,22.00,Nintendo 3DS,Legend Of Zelda Ocarina Of Time 3D
/product_images/Juegos/3DS Juegos/045496526313_s.jpg,045496526313,977,18.00,13.00,28.00,Nintendo 3DS,Pokemon Rubi Omega
/product_images/Juegos/3DS Juegos/045496524333_s.jpg,045496524333,977,16.00,12.00,25.00,Nintendo 3DS,Pokemon Y
/product_images/Juegos/3DS Juegos/045496523848_s.jpg,045496523848,977,20.00,15.00,32.00,Nintendo 3DS,Animal Crossing: New Leaf
