categoria_str,categoria_id,img_caratula,precio_compra,sku,precio_venta,precio_intercambio,titulo
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,36.00,711719825265,65.00,44.00,Horizon: Zero Dawn
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,20.00,5026555417037,45.00,28.00,Grand Theft Auto V (5)
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,15.00,5030917181733,35.00,22.00,Call Of Duty: Black Ops III
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,12.00,0711719454410,28.00,17.00,Uncharted 4: El desenlace del ladrón
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,22.00,5030937116388,50.00,31.00,FIFA 17
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,2.00,5030931112881,12.00,4.00,FIFA 16
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,12.00,5030917197185,28.00,17.00,Call Of Duty: Infinite Warfare
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,24.00,3307215913024,55.00,34.00,Ghost Recon: Wildlands (Sin DLC)
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,18.00,5030941113762,40.00,25.00,Battlefield 1
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,15.00,3307215966730,35.00,22.00,Watch Dogs 2
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,9.00,5026555421690,22.00,13.00,Mafia III
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,9.00,3307215893227,20.00,12.00,Assassin's Creed: Syndicate
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,20.00,5055060900574,45.00,28.00,Resident Evil 7: Biohazard
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,4.00,3307215804445,18.00,6.00,"Division, The"
PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,8.00,5030934121637,18.00,11.00,Star Wars: Battlefront
