sku,precio_intercambio,img_caratula,categoria_id,precio_compra,categoria_str,titulo,precio_venta
711719825265,44.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,1001,36.00,PlayStation 4,Horizon: Zero Dawn,65.00
5026555417037,28.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,1001,20.00,PlayStation 4,Grand Theft Auto V (5),45.00
5030917181733,22.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,1001,15.00,PlayStation 4,Call Of Duty: Black Ops III,35.00
0711719454410,17.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,1001,12.00,PlayStation 4,Uncharted 4: El desenlace del ladrón,28.00
5030937116388,31.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,1001,22.00,PlayStation 4,FIFA 17,50.00
5030931112881,4.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,1001,2.00,PlayStation 4,FIFA 16,12.00
5030917197185,17.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,1001,12.00,PlayStation 4,Call Of Duty: Infinite Warfare,28.00
3307215913024,34.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,1001,24.00,PlayStation 4,Ghost Recon: Wildlands (Sin DLC),55.00
5030941113762,25.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,1001,18.00,PlayStation 4,Battlefield 1,40.00
3307215966730,22.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,1001,15.00,PlayStation 4,Watch Dogs 2,35.00
5026555421690,13.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,1001,9.00,PlayStation 4,Mafia III,22.00
3307215893227,12.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,1001,9.00,PlayStation 4,Assassin's Creed: Syndicate,20.00
5055060900574,28.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,1001,20.00,PlayStation 4,Resident Evil 7: Biohazard,45.00
3307215804445,6.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,1001,4.00,PlayStation 4,"Division, The",18.00
5030934121637,11.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,1001,8.00,PlayStation 4,Star Wars: Battlefront,18.00
045496526320,14.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,977,10.00,Nintendo 3DS,Pokemon: Zafiro Alfa,22.00
