sku,categoria_id,titulo,precio_intercambio,categoria_str,precio_compra,img_caratula,precio_venta
5030917181733,1001,Call Of Duty: Black Ops III,22.00,PlayStation 4,15.00,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,35.00
5026555417037,1001,Grand Theft Auto V (5),28.00,PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,45.00
711719825265,1001,Horizon: Zero Dawn,44.00,PlayStation 4,36.00,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,65.00
0711719454410,1001,Uncharted 4: El desenlace del ladrón,17.00,PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,28.00
5030937116388,1001,FIFA 17,31.00,PlayStation 4,22.00,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,50.00
5030931112881,1001,FIFA 16,4.00,PlayStation 4,2.00,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,12.00
3307215913024,1001,Ghost Recon: Wildlands (Sin DLC),34.00,PlayStation 4,24.00,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,55.00
5030917197185,1001,Call Of Duty: Infinite Warfare,17.00,PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,28.00
3307215966730,1001,Watch Dogs 2,22.00,PlayStation 4,15.00,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,35.00
5030941113762,1001,Battlefield 1,25.00,PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,40.00
5055060900574,1001,Resident Evil 7: Biohazard,28.00,PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,45.00
5026555421690,1001,Mafia III,13.00,PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,22.00
3307215893227,1001,Assassin's Creed: Syndicate,12.00,PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,20.00
3307215914946,1001,For Honor (No DLC),30.00,PlayStation 4,21.00,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,48.00
3307215938782,1001,Far Cry Primal,13.00,PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,22.00
045496520830,977,Legend Of Zelda Ocarina Of Time 3D,14.00,Nintendo 3DS,10.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,22.00
0045496473358,977,Pokemon Sol,24.00,Nintendo 3DS,18.00,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,38.00
