img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,PlayStation 4,22.00,15.00,1001,5030917181733,35.00
/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),PlayStation 4,28.00,20.00,1001,5026555417037,45.00
/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,Horizon: Zero Dawn,PlayStation 4,44.00,36.00,1001,711719825265,65.00
/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,PlayStation 4,17.00,12.00,1001,0711719454410,28.00
/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,PlayStation 4,31.00,22.00,1001,5030937116388,50.00
/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,PlayStation 4,17.00,12.00,1001,5030917197185,28.00
/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,PlayStation 4,4.00,2.00,1001,5030931112881,12.00
/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,PlayStation 4,13.00,9.00,1001,5026555421690,22.00
/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,PlayStation 4,25.00,18.00,1001,5030941113762,40.00
/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,PlayStation 4,22.00,15.00,1001,3307215966730,35.00
/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard,PlayStation 4,28.00,20.00,1001,5055060900574,45.00
/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,Ghost Recon: Wildlands (Sin DLC),PlayStation 4,34.00,24.00,1001,3307215913024,55.00
/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,PlayStation 4,12.00,9.00,1001,3307215893227,20.00
/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,PlayStation 4,11.00,8.00,1001,5030934121637,18.00
/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,PlayStation 4,20.00,14.00,1001,5021290072985,32.00
/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,Nintendo 3DS,14.00,10.00,977,045496520830,22.00
/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,Nintendo 3DS,14.00,10.00,977,045496526320,22.00
