categoria_id,precio_compra,sku,precio_intercambio,categoria_str,img_caratula,precio_venta,titulo
1001,15.00,5030917181733,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,35.00,Call Of Duty: Black Ops III
1001,20.00,5026555417037,28.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,45.00,Grand Theft Auto V (5)
1001,36.00,711719825265,44.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,65.00,Horizon: Zero Dawn
1001,22.00,5030937116388,31.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,50.00,FIFA 17
1001,12.00,0711719454410,17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,28.00,Uncharted 4: El desenlace del ladrón
1001,12.00,5030917197185,17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,28.00,Call Of Duty: Infinite Warfare
1001,9.00,5026555421690,13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,22.00,Mafia III
1001,2.00,5030931112881,4.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,12.00,FIFA 16
1001,15.00,3307215966730,22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,35.00,Watch Dogs 2
1001,18.00,5030941113762,25.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,40.00,Battlefield 1
1001,20.00,5055060900574,28.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,45.00,Resident Evil 7: Biohazard
1001,9.00,3307215938782,13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,22.00,Far Cry Primal
1001,14.00,5021290072985,20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,32.00,Final Fantasy XV
1001,9.00,3307215893227,12.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,20.00,Assassin's Creed: Syndicate
1001,6.00,3307215803530,9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,15.00,Assassin's Creed: Unity
977,10.00,045496526320,14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,22.00,Pokemon: Zafiro Alfa
977,10.00,045496520830,14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,22.00,Legend Of Zelda Ocarina Of Time 3D
977,18.00,0045496473358,24.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,38.00,Pokemon Sol
977,16.00,045496473464,22.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,35.00,Pokemon Luna
977,14.00,045496521233,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,30.00,Super Mario 3D Land
977,10.00,045496524227,14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,22.00,Pokemon X
977,14.00,045496521301,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,30.00,Mario Kart 7
977,13.00,045496526313,18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,28.00,Pokemon Rubi Omega
977,15.00,045496523848,20.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,32.00,Animal Crossing: New Leaf
977,12.00,045496524333,16.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,25.00,Pokemon Y
977,14.00,0045496526283,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,30.00,Super Smash Bros.
977,15.00,045496472313,20.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,32.00,Yo-Kai Watch
977,9.00,045496527075,13.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,20.00,Monster Hunter 4 Ultimate
977,14.00,045496522582,19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,30.00,New Super Mario Bros. 2
977,22.00,045496474287,27.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,40.00,Super Mario Maker
834,3.00,5051892132480,4.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051892132480_s.jpg,7.00,Lego Legends Of Chima: Laval's Journey
834,4.00,5051893130096,6.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893130096_s.jpg,10.00,Lego Senor De Los Anillos
834,9.00,045496463106,12.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496463106_s.jpg,20.00,New Super Mario Bros.
834,3.00,5051893041279,5.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893041279_s.jpg,8.00,Super ScribbleNauts
834,6.00,045496462338,9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,15.00,Mario Kart DS
834,5.00,5051893027747,7.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893027747_s.jpg,12.00,Las Aventuras De Aragorn
834,8.00,5051893153217,11.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893153217_s.jpg,18.00,LEGO Friends
834,5.00,045496464936,7.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496464936_s.jpg,12.00,Pokemon Perla
834,6.00,045496462543,9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496462543_s.jpg,15.00,Animal Crossing: Wild World
834,6.00,045496464844,9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496464844_s.jpg,15.00,Pokemon Diamante
834,8.00,045496471057,11.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496471057_s.jpg,18.00,Pokemon Edicion Negra
834,4.00,045496463595,6.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496463595_s.jpg,10.00,Pokemon Mundo Misterioso Equipo Azul
