sku,categoria_id,precio_venta,precio_intercambio,categoria_str,titulo,img_caratula,precio_compra
5030917181733,1001,35.00,22.00,PlayStation 4,Call Of Duty: Black Ops III,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,15.00
5026555417037,1001,45.00,28.00,PlayStation 4,Grand Theft Auto V (5),/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,20.00
711719825265,1001,65.00,44.00,PlayStation 4,Horizon: Zero Dawn,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,36.00
0711719454410,1001,28.00,17.00,PlayStation 4,Uncharted 4: El desenlace del ladrón,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,12.00
5030937116388,1001,50.00,31.00,PlayStation 4,FIFA 17,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,22.00
5030917197185,1001,28.00,17.00,PlayStation 4,Call Of Duty: Infinite Warfare,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,12.00
5026555421690,1001,22.00,13.00,PlayStation 4,Mafia III,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,9.00
5030931112881,1001,12.00,4.00,PlayStation 4,FIFA 16,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,2.00
3307215966730,1001,35.00,22.00,PlayStation 4,Watch Dogs 2,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,15.00
5030941113762,1001,40.00,25.00,PlayStation 4,Battlefield 1,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,18.00
5055060900574,1001,45.00,28.00,PlayStation 4,Resident Evil 7: Biohazard,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,20.00
3307215938782,1001,22.00,13.00,PlayStation 4,Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,9.00
3307215803530,1001,15.00,9.00,PlayStation 4,Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,6.00
5021290072985,1001,32.00,20.00,PlayStation 4,Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,14.00
3307215893227,1001,20.00,12.00,PlayStation 4,Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,9.00
045496526320,977,22.00,14.00,Nintendo 3DS,Pokemon: Zafiro Alfa,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,10.00
0045496473358,977,38.00,24.00,Nintendo 3DS,Pokemon Sol,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,18.00
045496520830,977,22.00,14.00,Nintendo 3DS,Legend Of Zelda Ocarina Of Time 3D,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,10.00
045496473464,977,35.00,22.00,Nintendo 3DS,Pokemon Luna,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,16.00
045496521233,977,30.00,19.00,Nintendo 3DS,Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,14.00
045496524227,977,22.00,14.00,Nintendo 3DS,Pokemon X,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,10.00
045496521301,977,30.00,19.00,Nintendo 3DS,Mario Kart 7,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,14.00
045496526313,977,28.00,18.00,Nintendo 3DS,Pokemon Rubi Omega,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,13.00
045496523848,977,32.00,20.00,Nintendo 3DS,Animal Crossing: New Leaf,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,15.00
045496524333,977,25.00,16.00,Nintendo 3DS,Pokemon Y,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,12.00
0045496526283,977,30.00,19.00,Nintendo 3DS,Super Smash Bros.,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,14.00
045496472313,977,32.00,20.00,Nintendo 3DS,Yo-Kai Watch,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,15.00
045496527075,977,20.00,13.00,Nintendo 3DS,Monster Hunter 4 Ultimate,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,9.00
045496522582,977,30.00,19.00,Nintendo 3DS,New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,14.00
045496474287,977,40.00,27.00,Nintendo 3DS,Super Mario Maker,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,22.00
