precio_intercambio,categoria_str,img_caratula,titulo,precio_venta,categoria_id,precio_compra,sku
22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917181733_s.jpg,Call Of Duty: Black Ops III,35.00,1001,15.00,5030917181733
28.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555417037_s.jpg,Grand Theft Auto V (5),45.00,1001,20.00,5026555417037
44.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719825265_s.jpg,Horizon: Zero Dawn,65.00,1001,36.00,711719825265
17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/0711719454410_s.jpg,Uncharted 4: El desenlace del ladrón,28.00,1001,12.00,0711719454410
31.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030937116388_s.jpg,FIFA 17,50.00,1001,22.00,5030937116388
17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917197185_s.jpg,Call Of Duty: Infinite Warfare,28.00,1001,12.00,5030917197185
13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555421690_s.jpg,Mafia III,22.00,1001,9.00,5026555421690
4.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030931112881_s.jpg,FIFA 16,12.00,1001,2.00,5030931112881
22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215966730_s.jpg,Watch Dogs 2,35.00,1001,15.00,3307215966730
25.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030941113762_s.jpg,Battlefield 1,40.00,1001,18.00,5030941113762
28.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055060900574_s.jpg,Resident Evil 7: Biohazard,45.00,1001,20.00,5055060900574
9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,Assassin's Creed: Unity,15.00,1001,6.00,3307215803530
20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,32.00,1001,14.00,5021290072985
13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,Far Cry Primal,22.00,1001,9.00,3307215938782
12.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,20.00,1001,9.00,3307215893227
14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,22.00,977,10.00,045496526320
24.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496473358_s.jpg,Pokemon Sol,38.00,977,18.00,0045496473358
14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,22.00,977,10.00,045496520830
22.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna,35.00,977,16.00,045496473464
19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land,30.00,977,14.00,045496521233
14.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X,22.00,977,10.00,045496524227
19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7,30.00,977,14.00,045496521301
18.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega,28.00,977,13.00,045496526313
20.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Animal Crossing: New Leaf,32.00,977,15.00,045496523848
16.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y,25.00,977,12.00,045496524333
19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.,30.00,977,14.00,0045496526283
20.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Yo-Kai Watch,32.00,977,15.00,045496472313
19.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2,30.00,977,14.00,045496522582
13.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,Monster Hunter 4 Ultimate,20.00,977,9.00,045496527075
27.00,Nintendo 3DS,/product_images/Juegos/3DS Juegos/045496474287_s.jpg,Super Mario Maker,40.00,977,22.00,045496474287
